sku,id_producto,nombre_producto,modelo,color,talla,categoria,marca,precio_venta,costo,fecha,tipo_producto,unidad_medida,codigo_barras,Tipo_producto_afecta_inventario
BLA-0001,15,VESTIDO PLISADO GRIS JASPE,,,,VESTIDO,BLASHE,207,172,2024-01-04,Inventariable,Pieza,50000015,TRUE
BLA-0002,16,CROP TOP DE TEJIDO DENIM GRIS JASPE,,,,CROP,BLASHE,230,191,2024-01-04,Inventariable,Pieza,50000016,TRUE
BLA-0003,17,VESTIDO ACANALADO BLANCO,,,,VESTIDO,BLASHE,193,148,2024-01-04,Inventariable,Pieza,50000017,TRUE
BLA-0004,18,VESTIDO ACANALADO MOSTAZA,,,,VESTIDO,BLASHE,225,187,2024-01-04,Inventariable,Pieza,50000018,TRUE
BLA-0005,19,BLUSA CON ESTAMPADO FLORAL VERDE ESMERALDA,,,,BLUSA,BLASHE,212,163,2024-01-04,Inventariable,Pieza,50000019,TRUE
AJL-0001,20,CAMISA CON ESTAMPADO FLORAL LILA,,,,CAMISA,AJ LEE APPAREL,204,170,2024-01-04,Inventariable,Pieza,50000020,TRUE
AJL-0002,21,ENTERIZO CON BORDADO SUIZO BURDEOS,,,,ENTERIZO,AJ LEE APPAREL,202,168,2024-01-04,Inventariable,Pieza,50000021,TRUE
AJL-0003,22,CROP TOP ACANALADO TERRACOTA,,,,CROP,AJ LEE APPAREL,203,169,2024-01-04,Inventariable,Pieza,50000022,TRUE
AJL-0004,23,TOP CON BORDADO SUIZO TERRACOTA,,,,TOP,AJ LEE APPAREL,209,174,2024-01-04,Inventariable,Pieza,50000023,TRUE
AJL-0005,24,TOP CON ESTAMPADO FLORAL AZUL CIELO,,,,TOP,AJ LEE APPAREL,220,183,2024-01-04,Inventariable,Pieza,50000024,TRUE
ACG-0001,25,VESTIDO CON ESTAMPADO FLORAL GRIS JASPE,,,,VESTIDO,ACG,269,224,2024-01-04,Inventariable,Pieza,50000025,TRUE
ACG-0002,26,ENTERIZO CON BORDADO SUIZO VERDE ESMERALDA,,,,ENTERIZO,ACG,225,187,2024-01-04,Inventariable,Pieza,50000026,TRUE
ACG-0003,27,CAMISA OVERSIZE NEGRO,,,,CAMISA,ACG,292,243,2024-01-04,Inventariable,Pieza,50000027,TRUE
ACG-0004,28,CAMISA ACANALADO ROSA PASTEL,,,,CAMISA,ACG,208,160,2024-01-04,Inventariable,Pieza,50000028,TRUE
ACG-0005,29,VESTIDO AJUSTADO BURDEOS,,,,VESTIDO,ACG,268,223,2024-01-04,Inventariable,Pieza,50000029,TRUE
ACG-0006,30,PANTALON MANGA OBISPO LILA,,,,PANTALON,ACG,286,238,2024-01-04,Inventariable,Pieza,50000030,TRUE
ACG-0007,31,VESTIDO PLISADO AZUL CIELO,,,,VESTIDO,ACG,250,208,2024-01-04,Inventariable,Pieza,50000031,TRUE
ACG-0008,32,FALDA AJUSTADO AZUL MARINO,,,,FALDA,ACG,249,207,2024-01-04,Inventariable,Pieza,50000032,TRUE
ACG-0009,33,ENTERIZO DE ENCAJE VERDE ESMERALDA,,,,ENTERIZO,ACG,205,157,2024-01-04,Inventariable,Pieza,50000033,TRUE
ACG-0010,34,CAMISA CON LAZADA AZUL MARINO,,,,CAMISA,ACG,234,195,2024-01-04,Inventariable,Pieza,50000034,TRUE
MIN-0001,35,CROP TOP CON LAZADA BURDEOS,,,,CROP,MINE,322,268,2024-01-04,Inventariable,Pieza,50000035,TRUE
MIN-0002,36,CARDIGAN ACANALADO LILA,,,,CARDIGAN,MINE,197,151,2024-01-04,Inventariable,Pieza,50000036,TRUE
MIN-0003,37,TOP SATINADO AZUL MARINO,,,,TOP,MINE,215,165,2024-01-04,Inventariable,Pieza,50000037,TRUE
MIN-0004,38,CARDIGAN PLISADO LILA,,,,CARDIGAN,MINE,261,217,2024-01-04,Inventariable,Pieza,50000038,TRUE
MIN-0005,39,CARDIGAN DE TEJIDO DENIM MOSTAZA,,,,CARDIGAN,MINE,251,209,2024-01-04,Inventariable,Pieza,50000039,TRUE
MIN-0006,40,CROP TOP AJUSTADO BEIGE,,,,CROP,MINE,216,180,2024-01-04,Inventariable,Pieza,50000040,TRUE
MIN-0007,41,PANTALON CON OLANES NEGRO,,,,PANTALON,MINE,255,212,2024-01-04,Inventariable,Pieza,50000041,TRUE
MIN-0008,42,BLUSA ACANALADO MOSTAZA,,,,BLUSA,MINE,244,203,2024-01-04,Inventariable,Pieza,50000042,TRUE
MIN-0009,43,SHORT SATINADO ROSA PASTEL,,,,SHORT,MINE,260,216,2024-01-04,Inventariable,Pieza,50000043,TRUE
MIN-0010,44,VESTIDO ACANALADO LILA,,,,VESTIDO,MINE,286,238,2024-01-04,Inventariable,Pieza,50000044,TRUE
MIN-0011,45,VESTIDO DE LINO ROSA PASTEL,,,,VESTIDO,MINE,166,127,2024-01-04,Inventariable,Pieza,50000045,TRUE
MIN-0012,46,VESTIDO CON BOTONES FRONTALES MOSTAZA,,,,VESTIDO,MINE,323,269,2024-01-04,Inventariable,Pieza,50000046,TRUE
CHO-0001,47,CAMISA PLISADO GRIS JASPE,,,,CAMISA,CHOCOLATE,266,221,2024-01-04,Inventariable,Pieza,50000047,TRUE
CHO-0002,48,PANTALON CON LAZADA AZUL CIELO,,,,PANTALON,CHOCOLATE,356,296,2024-01-04,Inventariable,Pieza,50000048,TRUE
CHO-0003,49,CROP TOP CON LAZADA BEIGE,,,,CROP,CHOCOLATE,242,201,2024-01-04,Inventariable,Pieza,50000049,TRUE
CHO-0004,50,CAMISA AJUSTADO MOSTAZA,,,,CAMISA,CHOCOLATE,288,240,2024-01-04,Inventariable,Pieza,50000050,TRUE
STE-0001,51,FALDA ACANALADO NEGRO,,,,FALDA,STELLA,86,66,2024-01-04,Inventariable,Pieza,50000051,TRUE
STE-0002,52,SHORT OVERSIZE GRIS JASPE,,,,SHORT,STELLA,134,103,2024-01-04,Inventariable,Pieza,50000052,TRUE
SPR-0001,53,CARDIGAN PLISADO GRIS JASPE,,,,CARDIGAN,SPRING HAZE,274,228,2024-01-04,Inventariable,Pieza,50000053,TRUE
SPR-0002,54,PANTALON AJUSTADO VERDE ESMERALDA,,,,PANTALON,SPRING HAZE,254,211,2024-01-04,Inventariable,Pieza,50000054,TRUE
SPR-0003,55,BLUSA CON ESTAMPADO FLORAL LILA,,,,BLUSA,SPRING HAZE,336,280,2024-01-04,Inventariable,Pieza,50000055,TRUE
SPR-0004,56,PANTALON AJUSTADO AZUL CIELO,,,,PANTALON,SPRING HAZE,320,266,2024-01-04,Inventariable,Pieza,50000056,TRUE
INV-0001,57,TOP CON ESTAMPADO FLORAL ROSA PASTEL,,,,TOP,INVOICE,215,179,2024-01-04,Inventariable,Pieza,50000057,TRUE
INV-0002,58,CROP TOP ACANALADO BEIGE,,,,CROP,INVOICE,232,193,2024-01-04,Inventariable,Pieza,50000058,TRUE
IN2-0001,59,CARDIGAN CON BORDADO SUIZO LILA,,,,CARDIGAN,IN 2 YOU,202,155,2024-01-04,Inventariable,Pieza,50000059,TRUE
IN2-0002,60,SHORT CON BOTONES FRONTALES AZUL CIELO,,,,SHORT,IN 2 YOU,201,154,2024-01-04,Inventariable,Pieza,50000060,TRUE
IN2-0003,61,CARDIGAN CON BOTONES FRONTALES BURDEOS,,,,CARDIGAN,IN 2 YOU,206,158,2024-01-04,Inventariable,Pieza,50000061,TRUE
ACT-0001,62,CARDIGAN DE TEJIDO DENIM TERRACOTA,,,,CARDIGAN,ACTIVE USA,342,285,2024-01-04,Inventariable,Pieza,50000062,TRUE
ACT-0002,63,TOP DE CORTE RECTO BLANCO,,,,TOP,ACTIVE USA,267,222,2024-01-04,Inventariable,Pieza,50000063,TRUE
ACT-0003,64,CROP TOP DE LINO LILA,,,,CROP,ACTIVE USA,88,67,2024-01-04,Inventariable,Pieza,50000064,TRUE
ACT-0004,65,SHORT CON OLANES BEIGE,,,,SHORT,ACTIVE USA,318,265,2024-01-04,Inventariable,Pieza,50000065,TRUE
ACT-0005,66,PANTALON CON LAZADA AZUL MARINO,,,,PANTALON,ACTIVE USA,376,313,2024-01-04,Inventariable,Pieza,50000066,TRUE
ACT-0006,67,CROP TOP OVERSIZE TERRACOTA,,,,CROP,ACTIVE USA,377,314,2024-01-04,Inventariable,Pieza,50000067,TRUE
ACT-0007,68,SHORT DE ENCAJE BEIGE,,,,SHORT,ACTIVE USA,166,127,2024-01-04,Inventariable,Pieza,50000068,TRUE
ACT-0008,69,PANTALON DE LINO NEGRO,,,,PANTALON,ACTIVE USA,269,224,2024-01-04,Inventariable,Pieza,50000069,TRUE
ACT-0009,70,FALDA ACANALADO BEIGE,,,,FALDA,ACTIVE USA,245,204,2024-01-04,Inventariable,Pieza,50000070,TRUE
ACT-0010,71,BLUSA CON CUELLO EN V ROSA PASTEL,,,,BLUSA,ACTIVE USA,203,156,2024-01-04,Inventariable,Pieza,50000071,TRUE
ACT-0011,72,CROP TOP CON BORDADO SUIZO AZUL CIELO,,,,CROP,ACTIVE USA,190,146,2024-01-04,Inventariable,Pieza,50000072,TRUE
ACT-0012,73,PANTALON PLISADO AZUL CIELO,,,,PANTALON,ACTIVE USA,287,239,2024-01-04,Inventariable,Pieza,50000073,TRUE
ACT-0013,74,CARDIGAN SATINADO LILA,,,,CARDIGAN,ACTIVE USA,232,193,2024-01-04,Inventariable,Pieza,50000074,TRUE
ACT-0014,75,TOP AJUSTADO TERRACOTA,,,,TOP,ACTIVE USA,214,164,2024-01-04,Inventariable,Pieza,50000075,TRUE
ONE-0001,76,TOP ACANALADO TERRACOTA,,,,TOP,ONE N MORE,424,368,2024-01-04,Inventariable,Pieza,50000076,TRUE
ONE-0002,77,PANTALON DE ENCAJE GRIS JASPE,,,,PANTALON,ONE N MORE,488,424,2024-01-04,Inventariable,Pieza,50000077,TRUE
ONE-0003,78,ENTERIZO ACANALADO TERRACOTA,,,,ENTERIZO,ONE N MORE,477,414,2024-01-04,Inventariable,Pieza,50000078,TRUE
OVI-0001,79,CAMISA DE LINO MOSTAZA,,,,CAMISA,OVI,338,281,2024-01-04,Inventariable,Pieza,50000079,TRUE
OVI-0002,80,FALDA CON OLANES ROSA PASTEL,,,,FALDA,OVI,365,304,2024-01-04,Inventariable,Pieza,50000080,TRUE
OVI-0003,81,ENTERIZO SATINADO CREMA,,,,ENTERIZO,OVI,326,271,2024-01-04,Inventariable,Pieza,50000081,TRUE
OVI-0004,82,ENTERIZO CON OLANES LILA,,,,ENTERIZO,OVI,382,318,2024-01-04,Inventariable,Pieza,50000082,TRUE
OVI-0005,83,BLUSA CON ESTAMPADO FLORAL BURDEOS,,,,BLUSA,OVI,360,300,2024-01-04,Inventariable,Pieza,50000083,TRUE
OVI-0006,84,SHORT CON BORDADO SUIZO TERRACOTA,,,,SHORT,OVI,281,234,2024-01-04,Inventariable,Pieza,50000084,TRUE
OVI-0007,85,PANTALON MANGA OBISPO ROSA PASTEL,,,,PANTALON,OVI,363,302,2024-01-04,Inventariable,Pieza,50000085,TRUE
OVI-0008,86,CARDIGAN AJUSTADO ROSA PASTEL,,,,CARDIGAN,OVI,400,347,2024-01-04,Inventariable,Pieza,50000086,TRUE
OVI-0009,87,CAMISA DE CORTE RECTO BURDEOS,,,,CAMISA,OVI,386,335,2024-01-04,Inventariable,Pieza,50000087,TRUE
OVI-0010,88,BLUSA OVERSIZE ROSA PASTEL,,,,BLUSA,OVI,318,265,2024-01-04,Inventariable,Pieza,50000088,TRUE
OVI-0011,89,VESTIDO CON LAZADA BLANCO,,,,VESTIDO,OVI,306,255,2024-01-04,Inventariable,Pieza,50000089,TRUE
OVI-0012,90,SHORT CON ESTAMPADO FLORAL AZUL CIELO,,,,SHORT,OVI,347,289,2024-01-04,Inventariable,Pieza,50000090,TRUE
OVI-0013,91,SHORT DE LINO GRIS JASPE,,,,SHORT,OVI,403,350,2024-01-04,Inventariable,Pieza,50000091,TRUE
DAN-0001,92,BLUSA DE CORTE RECTO BURDEOS,,,,BLUSA,DANIEL JEANS,257,214,2024-01-04,Inventariable,Pieza,50000092,TRUE
DAN-0002,93,ENTERIZO DE TEJIDO DENIM MOSTAZA,,,,ENTERIZO,DANIEL JEANS,257,214,2024-01-04,Inventariable,Pieza,50000093,TRUE
EST-0001,94,CAMISA SATINADO BURDEOS,,,,CAMISA,ESTELLA,216,166,2024-01-04,Inventariable,Pieza,50000094,TRUE
EST-0002,95,BLUSA OVERSIZE BLANCO,,,,BLUSA,ESTELLA,206,171,2024-01-04,Inventariable,Pieza,50000095,TRUE
EST-0003,96,SHORT DE ENCAJE ROSA PASTEL,,,,SHORT,ESTELLA,245,204,2024-01-04,Inventariable,Pieza,50000096,TRUE
EST-0004,97,BLUSA SATINADO BURDEOS,,,,BLUSA,ESTELLA,186,143,2024-01-04,Inventariable,Pieza,50000097,TRUE
EST-0005,98,FALDA CON CUELLO EN V MOSTAZA,,,,FALDA,ESTELLA,406,353,2024-01-04,Inventariable,Pieza,50000098,TRUE
EST-0006,99,TOP DE ENCAJE BEIGE,,,,TOP,ESTELLA,351,292,2024-01-04,Inventariable,Pieza,50000099,TRUE
EST-0007,100,FALDA CON ESTAMPADO FLORAL VERDE ESMERALDA,,,,FALDA,ESTELLA,383,319,2024-01-04,Inventariable,Pieza,50000100,TRUE
OVE-0001,101,FALDA DE TEJIDO DENIM VERDE ESMERALDA,,,,FALDA,OVER APPAREL,201,167,2024-01-05,Inventariable,Pieza,50000101,TRUE
OVE-0002,102,CARDIGAN CON BORDADO SUIZO GRIS JASPE,,,,CARDIGAN,OVER APPAREL,237,197,2024-01-05,Inventariable,Pieza,50000102,TRUE
OVE-0003,103,ENTERIZO CON OLANES MOSTAZA,,,,ENTERIZO,OVER APPAREL,232,193,2024-01-05,Inventariable,Pieza,50000103,TRUE
OVE-0004,104,VESTIDO PLISADO NEGRO,,,,VESTIDO,OVER APPAREL,192,147,2024-01-05,Inventariable,Pieza,50000104,TRUE
OVE-0005,105,ENTERIZO PLISADO AZUL MARINO,,,,ENTERIZO,OVER APPAREL,208,173,2024-01-05,Inventariable,Pieza,50000105,TRUE
OVE-0006,106,SHORT DE ENCAJE BURDEOS,,,,SHORT,OVER APPAREL,286,238,2024-01-05,Inventariable,Pieza,50000106,TRUE
OVE-0007,107,BLUSA OVERSIZE MOSTAZA,,,,BLUSA,OVER APPAREL,210,161,2024-01-05,Inventariable,Pieza,50000107,TRUE
OVE-0008,108,FALDA ACANALADO MOSTAZA,,,,FALDA,OVER APPAREL,201,167,2024-01-05,Inventariable,Pieza,50000108,TRUE
OVE-0009,109,SHORT CON BOTONES FRONTALES NEGRO,,,,SHORT,OVER APPAREL,184,141,2024-01-05,Inventariable,Pieza,50000109,TRUE
OVE-0010,110,CROP TOP CON BORDADO SUIZO VERDE ESMERALDA,,,,CROP,OVER APPAREL,207,159,2024-01-05,Inventariable,Pieza,50000110,TRUE
LOR-0001,111,TOP SATINADO BLANCO,,,,TOP,LOVERICHE,376,313,2024-01-05,Inventariable,Pieza,50000111,TRUE
LOR-0002,112,FALDA CON LAZADA LILA,,,,FALDA,LOVERICHE,462,401,2024-01-05,Inventariable,Pieza,50000112,TRUE
LOR-0003,113,CARDIGAN AJUSTADO BEIGE,,,,CARDIGAN,LOVERICHE,400,347,2024-01-05,Inventariable,Pieza,50000113,TRUE
LOR-0004,114,VESTIDO DE TEJIDO DENIM LILA,,,,VESTIDO,LOVERICHE,397,345,2024-01-05,Inventariable,Pieza,50000114,TRUE
LOR-0005,115,BLUSA CON OLANES BLANCO,,,,BLUSA,LOVERICHE,359,299,2024-01-05,Inventariable,Pieza,50000115,TRUE
LOR-0006,116,CARDIGAN DE ENCAJE LILA,,,,CARDIGAN,LOVERICHE,281,234,2024-01-05,Inventariable,Pieza,50000116,TRUE
LOR-0007,117,VESTIDO CON CUELLO EN V MOSTAZA,,,,VESTIDO,LOVERICHE,386,335,2024-01-05,Inventariable,Pieza,50000117,TRUE
LOR-0008,118,SHORT CON LAZADA AZUL CIELO,,,,SHORT,LOVERICHE,383,319,2024-01-05,Inventariable,Pieza,50000118,TRUE
LOR-0009,119,ENTERIZO DE TEJIDO DENIM NEGRO,,,,ENTERIZO,LOVERICHE,236,196,2024-01-05,Inventariable,Pieza,50000119,TRUE
LOR-0010,120,VESTIDO DE TEJIDO DENIM AZUL CIELO,,,,VESTIDO,LOVERICHE,436,379,2024-01-05,Inventariable,Pieza,50000120,TRUE
LOR-0011,121,CAMISA ACANALADO CREMA,,,,CAMISA,LOVERICHE,252,210,2024-01-05,Inventariable,Pieza,50000121,TRUE
LOR-0012,122,CARDIGAN DE TEJIDO DENIM BLANCO,,,,CARDIGAN,LOVERICHE,400,347,2024-01-05,Inventariable,Pieza,50000122,TRUE
LOR-0013,123,TOP OVERSIZE GRIS JASPE,,,,TOP,LOVERICHE,409,355,2024-01-05,Inventariable,Pieza,50000123,TRUE
SHE-0001,124,CROP TOP DE ENCAJE GRIS JASPE,,,,CROP,SHERO,239,199,2024-01-05,Inventariable,Pieza,50000124,TRUE
SHE-0002,125,CAMISA CON ESTAMPADO FLORAL NEGRO,,,,CAMISA,SHERO,294,245,2024-01-05,Inventariable,Pieza,50000125,TRUE
SHE-0003,126,FALDA CON LAZADA NEGRO,,,,FALDA,SHERO,209,174,2024-01-05,Inventariable,Pieza,50000126,TRUE
SHE-0004,127,CAMISA DE CORTE RECTO AZUL MARINO,,,,CAMISA,SHERO,293,244,2024-01-05,Inventariable,Pieza,50000127,TRUE
SHE-0005,128,ENTERIZO DE TEJIDO DENIM MOSTAZA,,,,ENTERIZO,SHERO,264,220,2024-01-05,Inventariable,Pieza,50000128,TRUE
SHE-0006,129,BLUSA CON BOTONES FRONTALES NEGRO,,,,BLUSA,SHERO,274,228,2024-01-05,Inventariable,Pieza,50000129,TRUE
SHE-0007,130,FALDA OVERSIZE VERDE ESMERALDA,,,,FALDA,SHERO,300,250,2024-01-05,Inventariable,Pieza,50000130,TRUE
SHE-0008,131,SHORT CON CUELLO EN V CREMA,,,,SHORT,SHERO,360,300,2024-01-05,Inventariable,Pieza,50000131,TRUE
SHE-0009,132,BLUSA CON LAZADA AZUL CIELO,,,,BLUSA,SHERO,248,206,2024-01-05,Inventariable,Pieza,50000132,TRUE
SHE-0010,133,VESTIDO CON CUELLO EN V AZUL CIELO,,,,VESTIDO,SHERO,205,157,2024-01-05,Inventariable,Pieza,50000133,TRUE
SHE-0011,134,PANTALON OVERSIZE TERRACOTA,,,,PANTALON,SHERO,377,314,2024-01-05,Inventariable,Pieza,50000134,TRUE
SHE-0012,135,BLUSA DE TEJIDO DENIM BLANCO,,,,BLUSA,SHERO,335,279,2024-01-05,Inventariable,Pieza,50000135,TRUE
SHE-0013,136,BLUSA PLISADO LILA,,,,BLUSA,SHERO,353,294,2024-01-05,Inventariable,Pieza,50000136,TRUE
NEW-0001,137,CARDIGAN DE ENCAJE TERRACOTA,,,,CARDIGAN,NEW IN,233,194,2024-01-05,Inventariable,Pieza,50000137,TRUE
NEW-0002,138,FALDA DE ENCAJE ROSA PASTEL,,,,FALDA,NEW IN,220,183,2024-01-05,Inventariable,Pieza,50000138,TRUE
NEW-0003,139,PANTALON CON BORDADO SUIZO AZUL CIELO,,,,PANTALON,NEW IN,218,181,2024-01-05,Inventariable,Pieza,50000139,TRUE
NEW-0004,140,SHORT DE ENCAJE BLANCO,,,,SHORT,NEW IN,341,284,2024-01-05,Inventariable,Pieza,50000140,TRUE
NEW-0005,141,BLUSA CON ESTAMPADO FLORAL AZUL MARINO,,,,BLUSA,NEW IN,386,321,2024-01-05,Inventariable,Pieza,50000141,TRUE
NEW-0006,142,TOP DE LINO GRIS JASPE,,,,TOP,NEW IN,358,298,2024-01-05,Inventariable,Pieza,50000142,TRUE
NEW-0007,143,FALDA OVERSIZE BEIGE,,,,FALDA,NEW IN,378,315,2024-01-05,Inventariable,Pieza,50000143,TRUE
TOS-0001,144,BLUSA CON BORDADO SUIZO BLANCO,,,,BLUSA,TOSKA,266,221,2024-01-05,Inventariable,Pieza,50000144,TRUE
TOS-0002,145,CROP TOP AJUSTADO BURDEOS,,,,CROP,TOSKA,362,301,2024-01-05,Inventariable,Pieza,50000145,TRUE
TOS-0003,146,SHORT DE ENCAJE BURDEOS,,,,SHORT,TOSKA,321,267,2024-01-05,Inventariable,Pieza,50000146,TRUE
TOS-0004,147,TOP SATINADO BLANCO,,,,TOP,TOSKA,298,248,2024-01-05,Inventariable,Pieza,50000147,TRUE
TOS-0005,148,PANTALON SATINADO BEIGE,,,,PANTALON,TOSKA,299,249,2024-01-05,Inventariable,Pieza,50000148,TRUE
TOS-0006,149,VESTIDO SATINADO AZUL MARINO,,,,VESTIDO,TOSKA,323,269,2024-01-05,Inventariable,Pieza,50000149,TRUE
TOS-0007,150,TOP SATINADO ROSA PASTEL,,,,TOP,TOSKA,308,256,2024-01-05,Inventariable,Pieza,50000150,TRUE
TOS-0008,151,CAMISA ACANALADO BEIGE,,,,CAMISA,TOSKA,314,261,2024-01-05,Inventariable,Pieza,50000151,TRUE
TOS-0009,152,VESTIDO PLISADO MOSTAZA,,,,VESTIDO,TOSKA,231,192,2024-01-05,Inventariable,Pieza,50000152,TRUE
TOS-0010,153,TOP DE ENCAJE NEGRO,,,,TOP,TOSKA,330,275,2024-01-05,Inventariable,Pieza,50000153,TRUE
MIC-0001,154,CARDIGAN DE LINO BLANCO,,,,CARDIGAN,MICHEL,261,217,2024-01-05,Inventariable,Pieza,50000154,TRUE
MIC-0002,155,FALDA DE LINO TERRACOTA,,,,FALDA,MICHEL,270,225,2024-01-05,Inventariable,Pieza,50000155,TRUE
MIC-0003,156,PANTALON ACANALADO ROSA PASTEL,,,,PANTALON,MICHEL,244,203,2024-01-05,Inventariable,Pieza,50000156,TRUE
MIC-0004,157,ENTERIZO ACANALADO CREMA,,,,ENTERIZO,MICHEL,203,169,2024-01-05,Inventariable,Pieza,50000157,TRUE
MIC-0005,158,CAMISA PLISADO BEIGE,,,,CAMISA,MICHEL,238,198,2024-01-05,Inventariable,Pieza,50000158,TRUE
MIC-0006,159,CAMISA DE CORTE RECTO VERDE ESMERALDA,,,,CAMISA,MICHEL,214,178,2024-01-05,Inventariable,Pieza,50000159,TRUE
MIC-0007,160,BLUSA PLISADO LILA,,,,BLUSA,MICHEL,260,216,2024-01-05,Inventariable,Pieza,50000160,TRUE
MIC-0008,161,CROP TOP DE LINO LILA,,,,CROP,MICHEL,268,223,2024-01-05,Inventariable,Pieza,50000161,TRUE
MIC-0009,162,ENTERIZO CON BOTONES FRONTALES ROSA PASTEL,,,,ENTERIZO,MICHEL,192,147,2024-01-05,Inventariable,Pieza,50000162,TRUE
MIC-0010,163,FALDA CON BORDADO SUIZO AZUL CIELO,,,,FALDA,MICHEL,248,206,2024-01-05,Inventariable,Pieza,50000163,TRUE
MIC-0011,164,SHORT CON CUELLO EN V MOSTAZA,,,,SHORT,MICHEL,272,226,2024-01-05,Inventariable,Pieza,50000164,TRUE
MIC-0012,165,CAMISA DE CORTE RECTO AZUL MARINO,,,,CAMISA,MICHEL,262,218,2024-01-05,Inventariable,Pieza,50000165,TRUE
MIC-0013,166,BLUSA CON BORDADO SUIZO VERDE ESMERALDA,,,,BLUSA,MICHEL,180,138,2024-01-05,Inventariable,Pieza,50000166,TRUE
MIC-0014,167,SHORT CON ESTAMPADO FLORAL NEGRO,,,,SHORT,MICHEL,294,245,2024-01-05,Inventariable,Pieza,50000167,TRUE
ONT-0001,168,FALDA CON BOTONES FRONTALES TERRACOTA,,,,FALDA,ONTWELFTH,418,363,2024-01-05,Inventariable,Pieza,50000168,TRUE
ONT-0002,169,FALDA AJUSTADO BURDEOS,,,,FALDA,ONTWELFTH,202,168,2024-01-05,Inventariable,Pieza,50000169,TRUE
ONT-0003,170,CROP TOP DE ENCAJE AZUL MARINO,,,,CROP,ONTWELFTH,315,262,2024-01-05,Inventariable,Pieza,50000170,TRUE
ONT-0004,171,BLUSA SATINADO TERRACOTA,,,,BLUSA,ONTWELFTH,432,375,2024-01-05,Inventariable,Pieza,50000171,TRUE
ONT-0005,172,PANTALON CON ESTAMPADO FLORAL GRIS JASPE,,,,PANTALON,ONTWELFTH,515,447,2024-01-05,Inventariable,Pieza,50000172,TRUE
ONT-0006,173,TOP DE TEJIDO DENIM ROSA PASTEL,,,,TOP,ONTWELFTH,455,395,2024-01-05,Inventariable,Pieza,50000173,TRUE
ONT-0007,174,FALDA DE ENCAJE BURDEOS,,,,FALDA,ONTWELFTH,473,411,2024-01-05,Inventariable,Pieza,50000174,TRUE
ONT-0008,175,FALDA CON ESTAMPADO FLORAL BEIGE,,,,FALDA,ONTWELFTH,447,388,2024-01-05,Inventariable,Pieza,50000175,TRUE
ONT-0009,176,VESTIDO CON BORDADO SUIZO MOSTAZA,,,,VESTIDO,ONTWELFTH,275,229,2024-01-05,Inventariable,Pieza,50000176,TRUE
ONT-0010,177,CROP TOP CON CUELLO EN V ROSA PASTEL,,,,CROP,ONTWELFTH,373,324,2024-01-05,Inventariable,Pieza,50000177,TRUE
ONT-0011,178,ENTERIZO DE CORTE RECTO CREMA,,,,ENTERIZO,ONTWELFTH,477,414,2024-01-05,Inventariable,Pieza,50000178,TRUE
ONT-0012,179,CROP TOP OVERSIZE LILA,,,,CROP,ONTWELFTH,496,431,2024-01-05,Inventariable,Pieza,50000179,TRUE
ONT-0013,180,ENTERIZO CON LAZADA BLANCO,,,,ENTERIZO,ONTWELFTH,462,401,2024-01-05,Inventariable,Pieza,50000180,TRUE
