id_ntc,id_venta,id_cliente,fecha,sku,descripcion,cantidad,precio,total
NTC-000068,NOT-001129,1,2024-02-11,ACT-0036,TOP CON BOTONES FRONTALES MOSTAZA,1,201,201
NTC-000069,NOT-001159,1,2024-02-11,MIC-0037,CAMISA DE LINO TERRACOTA,1,142,142
NTC-000070,NOT-001170,1,2024-02-12,SHE-0004,CAMISA DE CORTE RECTO AZUL MARINO,1,293,293
NTC-000071,NOT-001195,1,2024-02-13,OVE-0028,PANTALON DE CORTE RECTO GRIS JASPE,1,286,286
NTC-000072,NOT-001227,1,2024-02-14,MIC-0037,CAMISA DE LINO TERRACOTA,1,142,142
NTC-000073,NOT-001237,1,2024-02-14,LOT-0026,PANTALON CON OLANES BURDEOS,1,210,210
NTC-000074,NOT-001252,1,2024-02-14,AZU-0008,ENTERIZO OVERSIZE BEIGE,1,432,432
NTC-000075,NOT-001286,1,2024-02-15,PAP-0009,TOP CON OLANES ROSA PASTEL,1,251,251
NTC-000076,NOT-001292,1,2024-02-15,ZEN-0008,VESTIDO CON BORDADO SUIZO MOSTAZA,1,275,275
NTC-000077,NOT-001326,1,2024-02-16,ACT-0038,VESTIDO CON OLANES BURDEOS,1,168,168
NTC-000078,NOT-001336,1,2024-02-17,MIL-0024,CARDIGAN MANGA OBISPO GRIS JASPE,1,285,285
NTC-000079,NOT-001350,1,2024-02-17,ACG-0023,CROP TOP CON ESTAMPADO FLORAL BEIGE,1,257,257
NTC-000080,NOT-001371,1,2024-02-18,WIL-0006,PANTALON ACANALADO GRIS JASPE,1,268,268
NTC-000081,NOT-001388,1,2024-02-18,MIC-0031,SHORT MANGA OBISPO ROSA PASTEL,1,245,245
NTC-000082,NOT-001410,1,2024-02-19,BET-0007,ENTERIZO PLISADO BEIGE,1,207,207
NTC-000083,NOT-001423,1,2024-02-19,ACG-0029,CAMISA CON CUELLO EN V BEIGE,1,197,197
NTC-000084,NOT-001425,1,2024-02-19,SAN-0043,PANTALON PLISADO ROSA PASTEL,1,345,345
NTC-000085,NOT-001426,1,2024-02-19,PAP-0028,CROP TOP OVERSIZE VERDE ESMERALDA,1,256,256
NTC-000086,NOT-001463,1,2024-02-20,LOT-0027,BLUSA AJUSTADO BLANCO,1,324,324
NTC-000087,NOT-001465,1,2024-02-20,ACT-0003,CROP TOP DE LINO LILA,1,88,88
NTC-000088,NOT-001482,1,2024-02-21,TAB-0013,SHORT CON CUELLO EN V BEIGE,1,169,169
NTC-000089,NOT-001508,1,2024-02-22,BAM-0008,CAMISA DE ENCAJE TERRACOTA,1,572,572
NTC-000090,NOT-001516,1,2024-02-22,MIC-0005,CAMISA PLISADO BEIGE,1,238,238
NTC-000091,NOT-001522,1,2024-02-22,LOR-0015,BLUSA MANGA OBISPO BURDEOS,1,234,234
NTC-000092,NOT-001572,1,2024-02-23,MIN-0027,ENTERIZO CON LAZADA LILA,1,205,205
NTC-000093,NOT-001573,1,2024-02-23,LOT-0022,CROP TOP SATINADO BLANCO,1,204,204
NTC-000094,NOT-001589,1,2024-02-24,MIC-0040,TOP CON LAZADA BEIGE,1,225,225
NTC-000095,NOT-001599,1,2024-02-24,MIC-0033,CROP TOP DE CORTE RECTO LILA,1,143,143
NTC-000096,NOT-001615,1,2024-02-24,ACT-0030,CROP TOP DE TEJIDO DENIM BEIGE,1,95,95
NTC-000097,NOT-001617,1,2024-02-24,MIC-0038,FALDA AJUSTADO AZUL CIELO,1,133,133
NTC-000098,NOT-001618,1,2024-02-24,MIC-0040,TOP CON LAZADA BEIGE,1,225,225
NTC-000099,NOT-001622,1,2024-02-25,CHO-0005,TOP SATINADO AZUL CIELO,1,134,134
NTC-000100,NOT-001653,1,2024-02-26,AMB-0014,VESTIDO DE LINO VERDE ESMERALDA,1,123,123
NTC-000101,NOT-001654,1,2024-02-26,LOT-0022,CROP TOP SATINADO BLANCO,1,204,204
NTC-000102,NOT-001655,1,2024-02-26,MIN-0024,PANTALON SATINADO BEIGE,1,186,186
NTC-000103,NOT-001664,1,2024-02-26,ONE-0011,CAMISA DE CORTE RECTO NEGRO,1,617,617
NTC-000104,NOT-001682,1,2024-02-26,MIC-0033,CROP TOP DE CORTE RECTO LILA,1,143,143
NTC-000105,NOT-001703,1,2024-02-27,BLA-0013,BLUSA CON BOTONES FRONTALES LILA,1,216,216
NTC-000106,NOT-001709,1,2024-02-27,MIL-0019,CAMISA ACANALADO BURDEOS,1,287,287
NTC-000107,NOT-001714,1,2024-02-27,PAP-0005,TOP CON ESTAMPADO FLORAL NEGRO,1,395,395
NTC-000108,NOT-001746,1,2024-02-28,BET-0009,BLUSA DE TEJIDO DENIM CREMA,1,344,344
NTC-000109,NOT-001746,1,2024-02-28,LOT-0021,SHORT CON CUELLO EN V AZUL CIELO,1,166,166
NTC-000110,NOT-001747,1,2024-02-28,OVE-0019,VESTIDO OVERSIZE BLANCO,1,266,266
NTC-000111,NOT-001754,1,2024-02-28,LOT-0022,CROP TOP SATINADO BLANCO,1,204,204
NTC-000112,NOT-001767,1,2024-02-28,IRI-0022,VESTIDO CON ESTAMPADO FLORAL AZUL CIELO,1,214,214
NTC-000113,NOT-001789,1,2024-03-04,ACG-0026,BLUSA CON OLANES BEIGE,1,206,206
NTC-000114,NOT-001827,1,2024-03-06,MIN-0052,CAMISA CON OLANES AZUL CIELO,1,227,227
NTC-000115,NOT-001827,1,2024-03-06,ACT-0069,TOP AJUSTADO AZUL CIELO,1,90,90
NTC-000116,NOT-001839,1,2024-03-06,AMB-0025,VESTIDO PLISADO BLANCO,1,167,167
NTC-000117,NOT-001845,1,2024-03-06,ACT-0063,TOP CON LAZADA GRIS JASPE,1,342,342
NTC-000118,NOT-001847,1,2024-03-06,ACT-0062,CROP TOP CON CUELLO EN V NEGRO,1,106,106
NTC-000119,NOT-001861,1,2024-03-06,OVI-0023,SHORT OVERSIZE MOSTAZA,1,352,352
NTC-000120,NOT-001864,1,2024-03-06,ACT-0059,ENTERIZO CON LAZADA ROSA PASTEL,1,251,251
NTC-000121,NOT-001891,1,2024-03-06,COL-0006,CARDIGAN DE ENCAJE VERDE ESMERALDA,1,251,251
NTC-000122,NOT-001908,1,2024-03-07,ACT-0055,SHORT PLISADO AZUL MARINO,1,285,285
NTC-000123,NOT-001914,1,2024-03-07,TEE-0018,CARDIGAN ACANALADO CREMA,1,188,188
NTC-000124,NOT-001919,1,2024-03-07,LOT-0044,CARDIGAN DE LINO VERDE ESMERALDA,1,211,211
NTC-000125,NOT-001939,1,2024-03-07,ACT-0061,BLUSA CON ESTAMPADO FLORAL AZUL MARINO,1,286,286
NTC-000126,NOT-001940,1,2024-03-07,HYF-0028,CROP TOP CON ESTAMPADO FLORAL AZUL CIELO,1,385,385
NTC-000127,NOT-001944,1,2024-03-07,AMB-0019,PANTALON CON LAZADA BLANCO,1,220,220
NTC-000128,NOT-001956,1,2024-03-07,ZEN-0018,BLUSA DE ENCAJE VERDE ESMERALDA,1,210,210
NTC-000129,NOT-001970,1,2024-03-07,MIC-0053,VESTIDO DE TEJIDO DENIM TERRACOTA,1,312,312
NTC-000130,NOT-001973,1,2024-03-07,SAN-0064,BLUSA CON BORDADO SUIZO AZUL CIELO,1,222,222
NTC-000131,NOT-001986,1,2024-03-07,HYF-0023,ENTERIZO CON OLANES BLANCO,1,212,212
NTC-000132,NOT-002000,1,2024-03-08,DAZ-0003,VESTIDO CON CUELLO EN V BURDEOS,1,384,384
NTC-000133,NOT-002026,1,2024-03-08,IRI-0032,VESTIDO CON CUELLO EN V BEIGE,1,181,181
NTC-000134,NOT-002050,1,2024-03-08,ONT-0031,TOP CON LAZADA BEIGE,1,225,225
NTC-000135,NOT-002104,1,2024-03-09,LOT-0043,ENTERIZO CON CUELLO EN V CREMA,1,216,216
NTC-000136,NOT-002117,1,2024-03-09,LIZ-0019,CROP TOP DE ENCAJE VERDE ESMERALDA,1,203,203
NTC-000137,NOT-002131,1,2024-03-09,ACT-0055,SHORT PLISADO AZUL MARINO,1,285,285
NTC-000138,NOT-002169,1,2024-03-09,IRI-0029,BLUSA SATINADO ROSA PASTEL,1,227,227
NTC-000139,NOT-002220,1,2024-03-10,LIZ-0017,BLUSA CON CUELLO EN V BURDEOS,1,210,210
NTC-000140,NOT-002240,1,2024-03-10,SAN-0062,VESTIDO DE TEJIDO DENIM CREMA,1,293,293
NTC-000141,NOT-002263,1,2024-03-11,LIZ-0013,BLUSA ACANALADO VERDE ESMERALDA,1,350,350
NTC-000142,NOT-002285,1,2024-03-11,OVI-0027,CARDIGAN PLISADO CREMA,1,314,314
NTC-000143,NOT-002301,1,2024-03-11,LOT-0048,TOP SATINADO AZUL MARINO,1,215,215
NTC-000144,NOT-002306,1,2024-03-11,ACG-0044,FALDA DE CORTE RECTO LILA,1,294,294
NTC-000145,NOT-002315,1,2024-03-11,MIC-0054,ENTERIZO DE LINO CREMA,1,237,237
NTC-000146,NOT-002350,1,2024-03-12,EVE-0015,TOP DE CORTE RECTO NEGRO,1,268,268
NTC-000147,NOT-002350,1,2024-03-12,MIT-0031,BLUSA CON ESTAMPADO FLORAL LILA,1,207,207
NTC-000148,NOT-002356,1,2024-03-12,ACT-0071,CAMISA CON CUELLO EN V BLANCO,1,269,269
NTC-000149,NOT-002358,1,2024-03-12,ONT-0033,BLUSA CON LAZADA AZUL CIELO,1,479,479
NTC-000150,NOT-002361,1,2024-03-12,MIC-0064,CROP TOP CON ESTAMPADO FLORAL AZUL MARINO,1,285,285
NTC-000151,NOT-002366,1,2024-03-12,IRI-0029,BLUSA SATINADO ROSA PASTEL,1,227,227
NTC-000152,NOT-002381,1,2024-03-13,ACT-0005,PANTALON CON LAZADA AZUL MARINO,1,376,376
NTC-000153,NOT-002393,1,2024-03-13,AVA-0014,BLUSA AJUSTADO ROSA PASTEL,1,184,184
NTC-000154,NOT-002394,1,2024-03-13,AVA-0011,SHORT SATINADO ROSA PASTEL,1,199,199
NTC-000155,NOT-002395,1,2024-03-13,ACT-0069,TOP AJUSTADO AZUL CIELO,1,90,90
NTC-000156,NOT-002421,1,2024-03-14,MIT-0028,VESTIDO DE LINO GRIS JASPE,1,175,175
NTC-000157,NOT-002467,1,2024-03-15,AVA-0015,FALDA DE CORTE RECTO AZUL CIELO,1,214,214
NTC-000158,NOT-002526,1,2024-03-16,SAN-0059,FALDA AJUSTADO MOSTAZA,1,335,335
NTC-000159,NOT-002576,1,2024-03-17,MIC-0057,PANTALON PLISADO AZUL CIELO,1,242,242
NTC-000160,NOT-002626,1,2024-03-18,EDI-0022,BLUSA OVERSIZE BLANCO,1,385,385
NTC-000161,NOT-002630,1,2024-03-18,MIC-0066,TOP DE CORTE RECTO ROSA PASTEL,1,310,310
NTC-000162,NOT-002630,1,2024-03-18,LIZ-0016,CAMISA CON OLANES AZUL CIELO,1,202,202
NTC-000163,NOT-002633,1,2024-03-18,HYF-0018,ENTERIZO CON ESTAMPADO FLORAL BLANCO,1,285,285
NTC-000164,NOT-002633,1,2024-03-18,ACT-0054,TOP SATINADO BEIGE,1,359,359
NTC-000165,NOT-002651,1,2024-03-18,CAM-0023,CAMISA ACANALADO AZUL MARINO,1,434,434
NTC-000166,NOT-002694,1,2024-03-19,RUN-0011,BLUSA DE TEJIDO DENIM BLANCO,1,298,298
NTC-000167,NOT-002724,1,2024-03-19,AMB-0021,SHORT ACANALADO ROSA PASTEL,1,214,214
NTC-000168,NOT-002762,1,2024-03-20,ZEN-0022,PANTALON CON CUELLO EN V VERDE ESMERALDA,1,236,236
NTC-000169,NOT-002765,1,2024-03-20,ACT-0053,VESTIDO ACANALADO VERDE ESMERALDA,1,262,262
NTC-000170,NOT-002807,1,2024-03-21,CRE-0006,PANTALON OVERSIZE MOSTAZA,1,328,328
NTC-000171,NOT-002837,1,2024-03-22,MIC-0063,PANTALON DE ENCAJE VERDE ESMERALDA,1,280,280
NTC-000172,NOT-002843,1,2024-03-22,IRI-0032,VESTIDO CON CUELLO EN V BEIGE,1,181,181
NTC-000173,NOT-002844,1,2024-03-22,LOT-0045,PANTALON DE ENCAJE TERRACOTA,1,214,214
NTC-000174,NOT-002851,1,2024-03-22,LOT-0039,FALDA MANGA OBISPO LILA,1,316,316
NTC-000175,NOT-002854,1,2024-03-22,ACT-0068,PANTALON DE LINO VERDE ESMERALDA,1,368,368
NTC-000176,NOT-002857,1,2024-03-22,EVE-0018,VESTIDO CON OLANES CREMA,1,231,231
NTC-000177,NOT-002869,1,2024-03-22,ONT-0027,SHORT CON ESTAMPADO FLORAL AZUL CIELO,1,473,473
NTC-000178,NOT-002878,1,2024-03-23,ROL-0015,CROP TOP DE TEJIDO DENIM MOSTAZA,1,262,262
NTC-000179,NOT-002884,1,2024-03-23,TOS-0024,CARDIGAN DE LINO ROSA PASTEL,1,302,302
NTC-000180,NOT-002890,1,2024-03-23,MIC-0067,TOP CON BOTONES FRONTALES NEGRO,1,233,233
NTC-000181,NOT-002905,1,2024-03-23,ACT-0068,PANTALON DE LINO VERDE ESMERALDA,1,368,368
NTC-000182,NOT-002925,1,2024-03-23,ACT-0058,CROP TOP MANGA OBISPO BURDEOS,1,270,270
NTC-000183,NOT-002934,1,2024-03-24,ZEN-0016,CAMISA PLISADO CREMA,1,281,281
NTC-000184,NOT-002970,1,2024-03-24,ACG-0049,CAMISA ACANALADO LILA,1,256,256
NTC-000185,NOT-003010,1,2024-03-25,LOL-0019,CROP TOP DE CORTE RECTO GRIS JASPE,1,249,249
NTC-000186,NOT-003033,1,2024-03-25,TOS-0030,PANTALON MANGA OBISPO NEGRO,1,288,288
NTC-000187,NOT-003045,1,2024-03-26,ZEN-0017,SHORT CON OLANES VERDE ESMERALDA,1,210,210
NTC-000188,NOT-003156,1,2024-03-28,LOT-0043,ENTERIZO CON CUELLO EN V CREMA,1,216,216
NTC-000189,NOT-003162,1,2024-03-28,MIC-0065,FALDA PLISADO VERDE ESMERALDA,1,154,154
NTC-000190,NOT-003206,1,2024-04-04,MIT-0030,TOP DE TEJIDO DENIM BURDEOS,1,179,179
NTC-000191,NOT-003229,1,2024-04-05,LIZ-0037,CAMISA DE ENCAJE BLANCO,1,358,358
NTC-000192,NOT-003229,1,2024-04-05,ACT-0092,CAMISA DE ENCAJE CREMA,1,146,146
NTC-000193,NOT-003234,1,2024-04-05,LOR-0013,TOP OVERSIZE GRIS JASPE,1,409,409
NTC-000194,NOT-003235,1,2024-04-05,AMB-0039,SHORT CON OLANES AZUL CIELO,1,142,142
NTC-000195,NOT-003246,1,2024-04-05,ACT-0092,CAMISA DE ENCAJE CREMA,1,146,146
NTC-000196,NOT-003264,1,2024-04-06,VIN-0032,BLUSA SATINADO MOSTAZA,1,370,370
NTC-000197,NOT-003278,1,2024-04-06,EDI-0011,TOP AJUSTADO BLANCO,1,421,421
NTC-000198,NOT-003291,1,2024-04-06,ACT-0011,CROP TOP CON BORDADO SUIZO AZUL CIELO,1,190,190
NTC-000199,NOT-003304,1,2024-04-06,ACT-0085,TOP DE LINO TERRACOTA,1,171,171
NTC-000200,NOT-003305,1,2024-04-06,MIL-0050,CARDIGAN ACANALADO ROSA PASTEL,1,302,302
NTC-000201,NOT-003307,1,2024-04-06,VIN-0025,ENTERIZO MANGA OBISPO BURDEOS,1,412,412
NTC-000202,NOT-003308,1,2024-04-06,LOR-0032,SHORT OVERSIZE BURDEOS,1,288,288
NTC-000203,NOT-003322,1,2024-04-07,MIN-0075,CAMISA DE CORTE RECTO VERDE ESMERALDA,1,192,192
NTC-000204,NOT-003326,1,2024-04-07,HAV-0006,PANTALON DE CORTE RECTO TERRACOTA,1,344,344
NTC-000205,NOT-003328,1,2024-04-07,LOR-0028,BLUSA CON CUELLO EN V MOSTAZA,1,454,454
NTC-000206,NOT-003342,1,2024-04-07,LOT-0049,PANTALON CON LAZADA ROSA PASTEL,1,209,209
NTC-000207,NOT-003342,1,2024-04-07,ACT-0014,TOP AJUSTADO TERRACOTA,1,214,214
NTC-000208,NOT-003349,1,2024-04-07,IRI-0006,CROP TOP CON CUELLO EN V NEGRO,1,207,207
NTC-000209,NOT-003403,1,2024-04-08,AZU-0017,SHORT MANGA OBISPO TERRACOTA,1,396,396
NTC-000210,NOT-003414,1,2024-04-08,ACT-0014,TOP AJUSTADO TERRACOTA,1,214,214
NTC-000211,NOT-003429,1,2024-04-08,MIC-0093,CARDIGAN ACANALADO NEGRO,1,142,142
NTC-000212,NOT-003431,1,2024-04-08,ACT-0006,CROP TOP OVERSIZE TERRACOTA,1,377,377
NTC-000213,NOT-003449,1,2024-04-09,MIC-0092,FALDA DE TEJIDO DENIM GRIS JASPE,1,211,211
NTC-000214,NOT-003472,1,2024-04-09,LIZ-0044,PANTALON MANGA OBISPO VERDE ESMERALDA,1,557,557
NTC-000215,NOT-003472,1,2024-04-09,MIC-0094,PANTALON CON BOTONES FRONTALES BEIGE,1,274,274
NTC-000216,NOT-003484,1,2024-04-09,GIL-0009,TOP DE LINO LILA,1,332,332
NTC-000217,NOT-003491,1,2024-04-09,LOT-0064,FALDA PLISADO NEGRO,1,285,285
NTC-000218,NOT-003532,1,2024-04-10,IFS-0015,FALDA ACANALADO BEIGE,1,316,316
NTC-000219,NOT-003536,1,2024-04-10,ACT-0014,TOP AJUSTADO TERRACOTA,1,214,214
NTC-000220,NOT-003541,1,2024-04-10,MIC-0093,CARDIGAN ACANALADO NEGRO,1,142,142
NTC-000221,NOT-003543,1,2024-04-10,DRE-0014,PANTALON DE CORTE RECTO AZUL MARINO,1,487,487
NTC-000222,NOT-003549,1,2024-04-10,LOT-0066,ENTERIZO SATINADO ROSA PASTEL,1,236,236
NTC-000223,NOT-003550,1,2024-04-10,VIN-0024,CAMISA CON BOTONES FRONTALES AZUL MARINO,1,505,505
NTC-000224,NOT-003572,1,2024-04-10,SAN-0014,FALDA SATINADO VERDE ESMERALDA,1,215,215
NTC-000225,NOT-003590,1,2024-04-11,MIL-0043,ENTERIZO DE ENCAJE BEIGE,1,246,246
NTC-000226,NOT-003609,1,2024-04-11,MIC-0066,TOP DE CORTE RECTO ROSA PASTEL,1,310,310
NTC-000227,NOT-003616,1,2024-04-12,MIC-0087,PANTALON CON LAZADA LILA,1,207,207
NTC-000228,NOT-003687,1,2024-04-14,WIL-0034,CAMISA CON BOTONES FRONTALES BLANCO,1,297,297
NTC-000229,NOT-003710,1,2024-04-14,LOT-0027,BLUSA AJUSTADO BLANCO,1,324,324
NTC-000230,NOT-003733,1,2024-04-15,ACT-0086,TOP CON LAZADA CREMA,1,326,326
NTC-000231,NOT-003755,1,2024-04-15,ACT-0088,TOP CON BOTONES FRONTALES VERDE ESMERALDA,1,372,372
NTC-000232,NOT-003755,1,2024-04-15,NAA-0008,CROP TOP DE CORTE RECTO VERDE ESMERALDA,1,264,264
NTC-000233,NOT-003784,1,2024-04-16,MUY-0032,PANTALON CON BORDADO SUIZO MOSTAZA,1,383,383
NTC-000234,NOT-003810,1,2024-04-17,VIN-0024,CAMISA CON BOTONES FRONTALES AZUL MARINO,1,505,505
NTC-000235,NOT-003817,1,2024-04-17,NAA-0010,TOP OVERSIZE VERDE ESMERALDA,1,324,324
NTC-000236,NOT-003835,1,2024-04-17,ACT-0086,TOP CON LAZADA CREMA,1,326,326
NTC-000237,NOT-003844,1,2024-04-18,SAN-0081,ENTERIZO SATINADO ROSA PASTEL,1,233,233
NTC-000238,NOT-003851,1,2024-04-18,HAV-0032,FALDA CON CUELLO EN V AZUL CIELO,1,194,194
NTC-000239,NOT-003851,1,2024-04-18,CRE-0010,FALDA CON OLANES ROSA PASTEL,1,326,326
NTC-000240,NOT-003867,1,2024-04-18,GIL-0011,BLUSA AJUSTADO TERRACOTA,1,324,324
NTC-000241,NOT-003884,1,2024-04-19,LIZ-0043,TOP DE ENCAJE TERRACOTA,1,459,459
NTC-000242,NOT-003909,1,2024-04-19,ONL-0012,ENTERIZO DE CORTE RECTO VERDE ESMERALDA,1,304,304
NTC-000243,NOT-003917,1,2024-04-19,VIN-0031,VESTIDO CON ESTAMPADO FLORAL ROSA PASTEL,1,215,215
