folio,sku,descripcion,cantidad,precio_unitario,impuesto,descuento,subtotal,importe,fecha,registro_nombre,usuario_autorizo_nombre,marca
PO-000003,HAV-0010,VESTIDO ACANALADO AZUL MARINO,21,213,16,0,4473,5188.68,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000004,BLA-0001,VESTIDO PLISADO GRIS JASPE,9,172,16,0,1548,1795.68,2024-01-04,USUARIO1,ADMIN1,BLASHE
PO-000004,BLA-0002,CROP TOP DE TEJIDO DENIM GRIS JASPE,9,191,16,0,1719,1994.04,2024-01-04,USUARIO1,ADMIN1,BLASHE
PO-000004,BLA-0003,VESTIDO ACANALADO BLANCO,12,148,16,0,1776,2060.16,2024-01-04,USUARIO1,ADMIN1,BLASHE
PO-000004,BLA-0004,VESTIDO ACANALADO MOSTAZA,9,187,16,0,1683,1952.28,2024-01-04,USUARIO1,ADMIN1,BLASHE
PO-000004,BLA-0005,BLUSA CON ESTAMPADO FLORAL VERDE ESMERALDA,12,163,16,0,1956,2268.96,2024-01-04,USUARIO1,ADMIN1,BLASHE
PO-000005,AJL-0001,CAMISA CON ESTAMPADO FLORAL LILA,9,170,16,0,1530,1774.8,2024-01-04,USUARIO1,ADMIN1,AJ LEE APPAREL
PO-000005,AJL-0002,ENTERIZO CON BORDADO SUIZO BURDEOS,9,168,16,0,1512,1753.92,2024-01-04,USUARIO1,ADMIN1,AJ LEE APPAREL
PO-000005,AJL-0003,CROP TOP ACANALADO TERRACOTA,12,169,16,0,2028,2352.48,2024-01-04,USUARIO1,ADMIN1,AJ LEE APPAREL
PO-000005,AJL-0004,TOP CON BORDADO SUIZO TERRACOTA,9,174,16,0,1566,1816.56,2024-01-04,USUARIO1,ADMIN1,AJ LEE APPAREL
PO-000005,AJL-0005,TOP CON ESTAMPADO FLORAL AZUL CIELO,12,183,16,0,2196,2547.36,2024-01-04,USUARIO1,ADMIN1,AJ LEE APPAREL
PO-000006,ACG-0001,VESTIDO CON ESTAMPADO FLORAL GRIS JASPE,9,224,16,0,2016,2338.56,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0002,ENTERIZO CON BORDADO SUIZO VERDE ESMERALDA,9,187,16,0,1683,1952.28,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0003,CAMISA OVERSIZE NEGRO,9,243,16,0,2187,2536.92,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0004,CAMISA ACANALADO ROSA PASTEL,9,160,16,0,1440,1670.4,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0005,VESTIDO AJUSTADO BURDEOS,9,223,16,0,2007,2328.12,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0006,PANTALON MANGA OBISPO LILA,9,238,16,0,2142,2484.72,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0007,VESTIDO PLISADO AZUL CIELO,9,208,16,0,1872,2171.52,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0008,FALDA AJUSTADO AZUL MARINO,9,207,16,0,1863,2161.08,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0009,ENTERIZO DE ENCAJE VERDE ESMERALDA,9,157,16,0,1413,1639.08,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000006,ACG-0010,CAMISA CON LAZADA AZUL MARINO,12,195,16,0,2340,2714.4,2024-01-04,USUARIO1,ADMIN1,ACG
PO-000007,MIN-0001,CROP TOP CON LAZADA BURDEOS,24,268,16,0,6432,7461.12,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0002,CARDIGAN ACANALADO LILA,21,151,16,0,3171,3678.36,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0003,TOP SATINADO AZUL MARINO,24,165,16,0,3960,4593.6,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0004,CARDIGAN PLISADO LILA,24,217,16,0,5208,6041.28,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0005,CARDIGAN DE TEJIDO DENIM MOSTAZA,21,209,16,0,4389,5091.24,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0006,CROP TOP AJUSTADO BEIGE,24,180,16,0,4320,5011.2,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0007,PANTALON CON OLANES NEGRO,24,212,16,0,5088,5902.08,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0008,BLUSA ACANALADO MOSTAZA,21,203,16,0,4263,4945.08,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0009,SHORT SATINADO ROSA PASTEL,24,216,16,0,5184,6013.44,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0010,VESTIDO ACANALADO LILA,24,238,16,0,5712,6625.92,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0011,VESTIDO DE LINO ROSA PASTEL,21,127,16,0,2667,3093.72,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000007,MIN-0012,VESTIDO CON BOTONES FRONTALES MOSTAZA,24,269,16,0,6456,7488.96,2024-01-04,USUARIO1,ADMIN1,MINE
PO-000008,CHO-0001,CAMISA PLISADO GRIS JASPE,9,221,16,0,1989,2307.24,2024-01-04,USUARIO1,ADMIN1,CHOCOLATE
PO-000008,CHO-0002,PANTALON CON LAZADA AZUL CIELO,12,296,16,0,3552,4120.32,2024-01-04,USUARIO1,ADMIN1,CHOCOLATE
PO-000008,CHO-0003,CROP TOP CON LAZADA BEIGE,9,201,16,0,1809,2098.44,2024-01-04,USUARIO1,ADMIN1,CHOCOLATE
PO-000008,CHO-0004,CAMISA AJUSTADO MOSTAZA,12,240,16,0,2880,3340.8,2024-01-04,USUARIO1,ADMIN1,CHOCOLATE
PO-000009,STE-0001,FALDA ACANALADO NEGRO,9,66,16,0,594,689.04,2024-01-04,USUARIO1,ADMIN1,STELLA
PO-000009,STE-0002,SHORT OVERSIZE GRIS JASPE,9,103,16,0,927,1075.32,2024-01-04,USUARIO1,ADMIN1,STELLA
PO-000010,SPR-0001,CARDIGAN PLISADO GRIS JASPE,9,228,16,0,2052,2380.32,2024-01-04,USUARIO1,ADMIN1,SPRING HAZE
PO-000010,SPR-0002,PANTALON AJUSTADO VERDE ESMERALDA,12,211,16,0,2532,2937.12,2024-01-04,USUARIO1,ADMIN1,SPRING HAZE
PO-000010,SPR-0003,BLUSA CON ESTAMPADO FLORAL LILA,9,280,16,0,2520,2923.2,2024-01-04,USUARIO1,ADMIN1,SPRING HAZE
PO-000010,SPR-0004,PANTALON AJUSTADO AZUL CIELO,12,266,16,0,3192,3702.72,2024-01-04,USUARIO1,ADMIN1,SPRING HAZE
PO-000011,INV-0001,TOP CON ESTAMPADO FLORAL ROSA PASTEL,9,179,16,0,1611,1868.76,2024-01-04,USUARIO1,ADMIN1,INVOICE
PO-000011,INV-0002,CROP TOP ACANALADO BEIGE,9,193,16,0,1737,2014.92,2024-01-04,USUARIO1,ADMIN1,INVOICE
PO-000012,IN2-0001,CARDIGAN CON BORDADO SUIZO LILA,12,155,16,0,1860,2157.6,2024-01-04,USUARIO1,ADMIN1,IN 2 YOU
PO-000012,IN2-0002,SHORT CON BOTONES FRONTALES AZUL CIELO,9,154,16,0,1386,1607.76,2024-01-04,USUARIO1,ADMIN1,IN 2 YOU
PO-000012,IN2-0003,CARDIGAN CON BOTONES FRONTALES BURDEOS,12,158,16,0,1896,2199.36,2024-01-04,USUARIO1,ADMIN1,IN 2 YOU
PO-000013,ACT-0001,CARDIGAN DE TEJIDO DENIM TERRACOTA,42,285,16,0,11970,13885.2,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0002,TOP DE CORTE RECTO BLANCO,42,222,16,0,9324,10815.84,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0003,CROP TOP DE LINO LILA,42,67,16,0,2814,3264.24,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0004,SHORT CON OLANES BEIGE,42,265,16,0,11130,12910.8,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0005,PANTALON CON LAZADA AZUL MARINO,42,313,16,0,13146,15249.36,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0006,CROP TOP OVERSIZE TERRACOTA,42,314,16,0,13188,15298.08,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0007,SHORT DE ENCAJE BEIGE,42,127,16,0,5334,6187.44,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0008,PANTALON DE LINO NEGRO,42,224,16,0,9408,10913.28,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0009,FALDA ACANALADO BEIGE,42,204,16,0,8568,9938.88,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0010,BLUSA CON CUELLO EN V ROSA PASTEL,42,156,16,0,6552,7600.32,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0011,CROP TOP CON BORDADO SUIZO AZUL CIELO,42,146,16,0,6132,7113.12,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0012,PANTALON PLISADO AZUL CIELO,42,239,16,0,10038,11644.08,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0013,CARDIGAN SATINADO LILA,39,193,16,0,7527,8731.32,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000013,ACT-0014,TOP AJUSTADO TERRACOTA,42,164,16,0,6888,7990.08,2024-01-04,USUARIO1,ADMIN1,ACTIVE USA
PO-000014,ONE-0001,TOP ACANALADO TERRACOTA,12,368,16,0,4416,5122.56,2024-01-04,USUARIO1,ADMIN1,ONE N MORE
PO-000014,ONE-0002,PANTALON DE ENCAJE GRIS JASPE,9,424,16,0,3816,4426.56,2024-01-04,USUARIO1,ADMIN1,ONE N MORE
PO-000014,ONE-0003,ENTERIZO ACANALADO TERRACOTA,12,414,16,0,4968,5762.88,2024-01-04,USUARIO1,ADMIN1,ONE N MORE
PO-000015,OVI-0001,CAMISA DE LINO MOSTAZA,9,281,16,0,2529,2933.64,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0002,FALDA CON OLANES ROSA PASTEL,9,304,16,0,2736,3173.76,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0003,ENTERIZO SATINADO CREMA,9,271,16,0,2439,2829.24,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0004,ENTERIZO CON OLANES LILA,9,318,16,0,2862,3319.92,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0005,BLUSA CON ESTAMPADO FLORAL BURDEOS,9,300,16,0,2700,3132,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0006,SHORT CON BORDADO SUIZO TERRACOTA,9,234,16,0,2106,2442.96,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0007,PANTALON MANGA OBISPO ROSA PASTEL,9,302,16,0,2718,3152.88,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0008,CARDIGAN AJUSTADO ROSA PASTEL,9,347,16,0,3123,3622.68,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0009,CAMISA DE CORTE RECTO BURDEOS,9,335,16,0,3015,3497.4,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0010,BLUSA OVERSIZE ROSA PASTEL,9,265,16,0,2385,2766.6,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0011,VESTIDO CON LAZADA BLANCO,9,255,16,0,2295,2662.2,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0012,SHORT CON ESTAMPADO FLORAL AZUL CIELO,9,289,16,0,2601,3017.16,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000015,OVI-0013,SHORT DE LINO GRIS JASPE,9,350,16,0,3150,3654,2024-01-04,USUARIO1,ADMIN1,OVI
PO-000016,DAN-0001,BLUSA DE CORTE RECTO BURDEOS,9,214,16,0,1926,2234.16,2024-01-04,USUARIO1,ADMIN1,DANIEL JEANS
PO-000016,DAN-0002,ENTERIZO DE TEJIDO DENIM MOSTAZA,9,214,16,0,1926,2234.16,2024-01-04,USUARIO1,ADMIN1,DANIEL JEANS
PO-000017,EST-0001,CAMISA SATINADO BURDEOS,9,166,16,0,1494,1733.04,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0002,BLUSA OVERSIZE BLANCO,9,171,16,0,1539,1785.24,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0003,SHORT DE ENCAJE ROSA PASTEL,9,204,16,0,1836,2129.76,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0004,BLUSA SATINADO BURDEOS,9,143,16,0,1287,1492.92,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0005,FALDA CON CUELLO EN V MOSTAZA,9,353,16,0,3177,3685.32,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0006,TOP DE ENCAJE BEIGE,9,292,16,0,2628,3048.48,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000017,EST-0007,FALDA CON ESTAMPADO FLORAL VERDE ESMERALDA,12,319,16,0,3828,4440.48,2024-01-04,USUARIO1,ADMIN1,ESTELLA
PO-000018,OVE-0001,FALDA DE TEJIDO DENIM VERDE ESMERALDA,15,167,16,0,2505,2905.8,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0002,CARDIGAN CON BORDADO SUIZO GRIS JASPE,15,197,16,0,2955,3427.8,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0003,ENTERIZO CON OLANES MOSTAZA,15,193,16,0,2895,3358.2,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0004,VESTIDO PLISADO NEGRO,15,147,16,0,2205,2557.8,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0005,ENTERIZO PLISADO AZUL MARINO,15,173,16,0,2595,3010.2,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0006,SHORT DE ENCAJE BURDEOS,15,238,16,0,3570,4141.2,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0007,BLUSA OVERSIZE MOSTAZA,18,161,16,0,2898,3361.68,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0008,FALDA ACANALADO MOSTAZA,18,167,16,0,3006,3486.96,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0009,SHORT CON BOTONES FRONTALES NEGRO,15,141,16,0,2115,2453.4,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000018,OVE-0010,CROP TOP CON BORDADO SUIZO VERDE ESMERALDA,18,159,16,0,2862,3319.92,2024-01-05,USUARIO1,ADMIN1,OVER APPAREL
PO-000019,LOR-0001,TOP SATINADO BLANCO,15,313,16,0,4695,5446.2,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0002,FALDA CON LAZADA LILA,15,401,16,0,6015,6977.4,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0003,CARDIGAN AJUSTADO BEIGE,15,347,16,0,5205,6037.8,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0004,VESTIDO DE TEJIDO DENIM LILA,15,345,16,0,5175,6003,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0005,BLUSA CON OLANES BLANCO,15,299,16,0,4485,5202.6,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0006,CARDIGAN DE ENCAJE LILA,15,234,16,0,3510,4071.6,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0007,VESTIDO CON CUELLO EN V MOSTAZA,15,335,16,0,5025,5829,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0008,SHORT CON LAZADA AZUL CIELO,15,319,16,0,4785,5550.6,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0009,ENTERIZO DE TEJIDO DENIM NEGRO,15,196,16,0,2940,3410.4,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0010,VESTIDO DE TEJIDO DENIM AZUL CIELO,15,379,16,0,5685,6594.6,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0011,CAMISA ACANALADO CREMA,15,210,16,0,3150,3654,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0012,CARDIGAN DE TEJIDO DENIM BLANCO,12,347,16,0,4164,4830.24,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000019,LOR-0013,TOP OVERSIZE GRIS JASPE,15,355,16,0,5325,6177,2024-01-05,USUARIO1,ADMIN1,LOVERICHE
PO-000020,SHE-0001,CROP TOP DE ENCAJE GRIS JASPE,9,199,16,0,1791,2077.56,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0002,CAMISA CON ESTAMPADO FLORAL NEGRO,12,245,16,0,2940,3410.4,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0003,FALDA CON LAZADA NEGRO,9,174,16,0,1566,1816.56,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0004,CAMISA DE CORTE RECTO AZUL MARINO,12,244,16,0,2928,3396.48,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0005,ENTERIZO DE TEJIDO DENIM MOSTAZA,12,220,16,0,2640,3062.4,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0006,BLUSA CON BOTONES FRONTALES NEGRO,9,228,16,0,2052,2380.32,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0007,FALDA OVERSIZE VERDE ESMERALDA,12,250,16,0,3000,3480,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0008,SHORT CON CUELLO EN V CREMA,12,300,16,0,3600,4176,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0009,BLUSA CON LAZADA AZUL CIELO,9,206,16,0,1854,2150.64,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0010,VESTIDO CON CUELLO EN V AZUL CIELO,12,157,16,0,1884,2185.44,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0011,PANTALON OVERSIZE TERRACOTA,12,314,16,0,3768,4370.88,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0012,BLUSA DE TEJIDO DENIM BLANCO,9,279,16,0,2511,2912.76,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000020,SHE-0013,BLUSA PLISADO LILA,12,294,16,0,3528,4092.48,2024-01-05,USUARIO1,ADMIN1,SHERO
PO-000021,NEW-0001,CARDIGAN DE ENCAJE TERRACOTA,9,194,16,0,1746,2025.36,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0002,FALDA DE ENCAJE ROSA PASTEL,9,183,16,0,1647,1910.52,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0003,PANTALON CON BORDADO SUIZO AZUL CIELO,9,181,16,0,1629,1889.64,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0004,SHORT DE ENCAJE BLANCO,9,284,16,0,2556,2964.96,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0005,BLUSA CON ESTAMPADO FLORAL AZUL MARINO,9,321,16,0,2889,3351.24,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0006,TOP DE LINO GRIS JASPE,9,298,16,0,2682,3111.12,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000021,NEW-0007,FALDA OVERSIZE BEIGE,12,315,16,0,3780,4384.8,2024-01-05,USUARIO1,ADMIN1,NEW IN
PO-000022,TOS-0001,BLUSA CON BORDADO SUIZO BLANCO,9,221,16,0,1989,2307.24,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0002,CROP TOP AJUSTADO BURDEOS,9,301,16,0,2709,3142.44,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0003,SHORT DE ENCAJE BURDEOS,9,267,16,0,2403,2787.48,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0004,TOP SATINADO BLANCO,9,248,16,0,2232,2589.12,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0005,PANTALON SATINADO BEIGE,9,249,16,0,2241,2599.56,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0006,VESTIDO SATINADO AZUL MARINO,9,269,16,0,2421,2808.36,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0007,TOP SATINADO ROSA PASTEL,9,256,16,0,2304,2672.64,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0008,CAMISA ACANALADO BEIGE,9,261,16,0,2349,2724.84,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0009,VESTIDO PLISADO MOSTAZA,9,192,16,0,1728,2004.48,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000022,TOS-0010,TOP DE ENCAJE NEGRO,12,275,16,0,3300,3828,2024-01-05,USUARIO1,ADMIN1,TOSKA
PO-000023,MIC-0001,CARDIGAN DE LINO BLANCO,36,217,16,0,7812,9061.92,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0002,FALDA DE LINO TERRACOTA,36,225,16,0,8100,9396,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0003,PANTALON ACANALADO ROSA PASTEL,39,203,16,0,7917,9183.72,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0004,ENTERIZO ACANALADO CREMA,36,169,16,0,6084,7057.44,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0005,CAMISA PLISADO BEIGE,39,198,16,0,7722,8957.52,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0006,CAMISA DE CORTE RECTO VERDE ESMERALDA,39,178,16,0,6942,8052.72,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0007,BLUSA PLISADO LILA,36,216,16,0,7776,9020.16,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0008,CROP TOP DE LINO LILA,39,223,16,0,8697,10088.52,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0009,ENTERIZO CON BOTONES FRONTALES ROSA PASTEL,39,147,16,0,5733,6650.28,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0010,FALDA CON BORDADO SUIZO AZUL CIELO,36,206,16,0,7416,8602.56,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0011,SHORT CON CUELLO EN V MOSTAZA,39,226,16,0,8814,10224.24,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0012,CAMISA DE CORTE RECTO AZUL MARINO,39,218,16,0,8502,9862.32,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0013,BLUSA CON BORDADO SUIZO VERDE ESMERALDA,36,138,16,0,4968,5762.88,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000023,MIC-0014,SHORT CON ESTAMPADO FLORAL NEGRO,39,245,16,0,9555,11083.8,2024-01-05,USUARIO1,ADMIN1,MICHEL
PO-000024,ONT-0001,FALDA CON BOTONES FRONTALES TERRACOTA,12,363,16,0,4356,5052.96,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0002,FALDA AJUSTADO BURDEOS,12,168,16,0,2016,2338.56,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0003,CROP TOP DE ENCAJE AZUL MARINO,12,262,16,0,3144,3647.04,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0004,BLUSA SATINADO TERRACOTA,12,375,16,0,4500,5220,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0005,PANTALON CON ESTAMPADO FLORAL GRIS JASPE,12,447,16,0,5364,6222.24,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0006,TOP DE TEJIDO DENIM ROSA PASTEL,12,395,16,0,4740,5498.4,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0007,FALDA DE ENCAJE BURDEOS,12,411,16,0,4932,5721.12,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0008,FALDA CON ESTAMPADO FLORAL BEIGE,15,388,16,0,5820,6751.2,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0009,VESTIDO CON BORDADO SUIZO MOSTAZA,15,229,16,0,3435,3984.6,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0010,CROP TOP CON CUELLO EN V ROSA PASTEL,12,324,16,0,3888,4510.08,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
PO-000024,ONT-0011,ENTERIZO DE CORTE RECTO CREMA,15,414,16,0,6210,7203.6,2024-01-05,USUARIO1,ADMIN1,ONTWELFTH
