sku,cantidad_venta_real,total_venta,cantidad_compra,total_compra,costo_producto_iva,fecha_compra,stock,flujo_caja,costo_stock,fecha_mes_stock,status
ACG-0031,9,2664,12,2952,245.99999997999998,2024-02-06,3,-288,737,22,DEAD STOCK
ACG-0032,10,1960,12,1812,151.00000000799997,2025-02-06,2,148,302,9,DEAD STOCK
ACG-0033,10,2800,12,2808,233.99999996399998,2025-02-06,2,-8,467,9,DEAD STOCK
ACG-0034,10,3030,12,3024,251.99999998799998,2025-02-06,2,6,503,9,DEAD STOCK
ACG-0035,9,1863,12,2076,172.99999996,2025-02-06,3,-213,518,9,DEAD STOCK
ACG-0036,10,2480,12,2484,207.000000044,2025-02-06,2,-4,414,9,DEAD STOCK
ACG-0037,12,3252,12,2712,225.999999992,2025-02-06,0,540,0,9,DEAD STOCK
ACG-0038,12,2760,12,2292,190.99999998399997,2025-02-06,0,468,0,9,DEAD STOCK
ACG-0039,10,2850,12,2844,236.99999996799997,2025-02-06,2,6,473,9,DEAD STOCK
ACG-0040,10,2570,12,2580,215.000000016,2025-02-06,2,-10,430,9,DEAD STOCK
ACG-0041,10,2130,12,1968,163.99999994799998,2025-02-06,2,162,327,9,DEAD STOCK
ACG-0042,9,2376,12,2640,219.99999998399997,2024-03-04,3,-264,659,21,DEAD STOCK
ACG-0043,12,2760,12,2292,190.99999998399997,2024-03-04,0,468,0,21,DEAD STOCK
ACG-0044,11,3234,12,2940,245.00000005599998,2024-03-04,1,294,245,21,DEAD STOCK
ACG-0045,10,2850,12,2856,238.00000000799997,2024-03-04,2,-6,476,21,DEAD STOCK
ACG-0046,11,2629,12,2388,198.99999995599998,2024-03-04,1,241,198,21,DEAD STOCK
ACG-0047,12,2520,12,1932,160.999999944,2024-03-04,0,588,0,21,DEAD STOCK
ACG-0048,12,3696,15,3840,256.000000032,2024-03-04,3,-144,768,21,DEAD STOCK
ACG-0049,14,3584,15,3195,213.000000052,2024-03-04,1,389,213,21,DEAD STOCK
ACG-0050,10,3020,12,3012,250.99999994799995,2024-03-04,2,8,501,21,DEAD STOCK
ACG-0051,13,2509,15,2235,149.000000044,2024-03-04,2,274,298,21,DEAD STOCK
ACG-0052,12,3600,15,3750,250.00000002399997,2024-03-04,3,-150,750,21,DEAD STOCK
ACG-0053,9,2151,12,2388,198.99999995599998,2024-03-04,3,-237,596,21,DEAD STOCK
ACG-0054,12,3420,15,3570,238.00000000799997,2024-03-04,3,-150,714,21,DEAD STOCK
ACG-0055,7,1449,9,1548,172.000000036,2024-04-05,2,-99,344,20,DEAD STOCK
ACG-0056,8,1608,9,1395,155.00000005200002,2024-04-05,1,213,155,20,DEAD STOCK
ACG-0057,9,1863,9,1431,158.99999997999998,2024-04-05,0,432,0,20,DEAD STOCK
ACG-0058,7,1470,9,1458,161.999999984,2024-04-05,2,12,323,20,DEAD STOCK
ACG-0059,9,2547,9,2124,236.000000044,2024-04-05,0,423,0,20,DEAD STOCK
ACG-0060,6,1170,9,1350,149.999999968,2024-04-05,3,-180,449,20,DEAD STOCK
ACG-0061,7,1442,9,1539,170.99999999599999,2024-04-05,2,-97,341,20,DEAD STOCK
ACG-0062,7,1918,9,2052,227.99999995599998,2024-04-05,2,-134,455,20,DEAD STOCK
ACG-0063,7,1512,9,1494,166.000000028,2024-04-05,2,18,332,20,DEAD STOCK
ACG-0064,6,1218,9,1404,155.999999976,2024-04-05,3,-186,467,20,DEAD STOCK
ACG-0065,7,1512,9,1494,166.000000028,2024-04-05,2,18,332,20,DEAD STOCK
ACG-0066,12,2484,12,1908,158.99999997999998,2024-04-05,0,576,0,20,DEAD STOCK
ACG-0067,11,3267,15,3705,247.00000002,2024-05-05,4,-438,988,19,DEAD STOCK
ACG-0068,15,3270,15,2730,181.99999997199998,2024-05-05,0,540,0,19,DEAD STOCK
ACG-0069,15,3450,15,2865,190.99999998399997,2024-05-05,0,585,0,19,DEAD STOCK
ACG-0070,11,2244,15,2355,157.000000016,2024-05-05,4,-111,628,19,DEAD STOCK
ACG-0071,15,4155,15,3465,230.99999996,2024-05-05,0,690,0,19,DEAD STOCK
ACG-0072,14,2940,15,2430,161.999999984,2024-05-05,1,510,161,19,DEAD STOCK
ACG-0073,12,2832,15,2955,196.999999992,2024-05-05,3,-123,590,19,DEAD STOCK
ACG-0074,11,2332,15,2640,175.99999996399998,2024-05-05,4,-308,703,19,DEAD STOCK
ACG-0075,18,3942,18,3294,183.000000012,2024-05-05,0,648,0,19,DEAD STOCK
ACG-0076,8,2192,9,2052,227.99999995599998,2024-06-07,1,140,227,18,DEAD STOCK
ACG-0077,9,1827,9,1404,155.999999976,2024-06-07,0,423,0,18,DEAD STOCK
ACG-0078,7,2100,9,2250,250.00000002399997,2024-06-07,2,-150,500,18,DEAD STOCK
ACG-0079,9,2259,9,1890,210.000000048,2024-06-07,0,369,0,18,DEAD STOCK
ACG-0080,6,1344,9,1683,187.00000005599998,2024-06-07,3,-339,561,18,DEAD STOCK
ACG-0081,6,1452,9,1818,201.99999996,2024-06-07,3,-366,605,18,DEAD STOCK
ACG-0082,7,2100,9,2250,250.00000002399997,2024-06-07,2,-150,500,18,DEAD STOCK
ACG-0083,9,1782,9,1368,152.000000048,2024-06-07,0,414,0,18,DEAD STOCK
ACG-0084,7,2114,9,2259,250.99999994799995,2024-06-07,2,-145,501,18,DEAD STOCK
ACG-0085,9,1809,9,1503,166.99999995199997,2024-06-07,0,306,0,18,DEAD STOCK
ACG-0086,7,2079,9,2223,247.00000002,2024-06-07,2,-144,494,18,DEAD STOCK
ACG-0087,9,2250,12,2508,209.00000000799997,2024-06-07,3,-258,627,18,DEAD STOCK
ACG-0088,7,1911,9,2043,227.000000032,2025-07-05,2,-132,454,4,DEAD STOCK
ACG-0089,7,1736,9,1863,207.000000044,2025-07-05,2,-127,414,4,DEAD STOCK
ACG-0090,9,1908,12,1956,163.00000002399997,2025-07-05,3,-48,489,4,DEAD STOCK
ACG-0091,9,2223,12,2472,206.000000004,2025-07-05,3,-249,618,4,DEAD STOCK
ACG-0092,6,1218,9,1521,169.000000032,2025-07-05,3,-303,507,4,DEAD STOCK
ACG-0093,8,2136,12,2664,221.99999994799998,2025-07-05,4,-528,887,4,DEAD STOCK
ACG-0094,9,1935,12,1980,164.99999998799998,2025-07-05,3,-45,494,4,DEAD STOCK
ACG-0095,5,1015,9,1404,155.999999976,2025-07-05,4,-389,623,4,DEAD STOCK
ACG-0096,9,2466,12,2748,228.99999999599999,2025-07-05,3,-282,686,4,DEAD STOCK
ACG-0097,10,3050,12,3048,253.99999995199997,2024-09-04,2,2,507,15,DEAD STOCK
ACG-0098,10,2100,12,2100,175.00000003999997,2024-09-04,2,0,350,15,DEAD STOCK
ACG-0099,10,2500,12,2496,207.99999996799997,2024-09-04,2,4,415,15,DEAD STOCK
ACG-0100,9,2637,12,2928,244.00000001599997,2024-09-04,3,-291,732,15,DEAD STOCK
ACG-0101,10,2360,12,2364,196.999999992,2024-09-04,2,-4,393,15,DEAD STOCK
ACG-0102,10,2191,12,2196,183.000000012,2024-09-04,2,-5,366,15,DEAD STOCK
ACG-0103,9,2547,12,2832,236.000000044,2024-09-04,3,-285,708,15,DEAD STOCK
ACG-0104,9,1836,12,2040,169.99999995599998,2024-09-04,3,-204,509,15,DEAD STOCK
ACG-0105,9,1782,12,1836,152.99999997199998,2024-09-04,3,-54,458,15,DEAD STOCK
ACG-0106,15,4290,15,3585,239.000000048,2024-09-04,0,705,0,15,DEAD STOCK
ACG-0107,7,1974,9,2115,235.000000004,2024-10-04,2,-141,470,14,DEAD STOCK
ACG-0108,9,2673,9,2232,247.999999944,2024-10-04,0,441,0,14,DEAD STOCK
ACG-0109,9,1827,9,1404,155.999999976,2024-10-04,0,423,0,14,DEAD STOCK
ACG-0110,9,1917,9,1602,178.000000044,2024-10-04,0,315,0,14,DEAD STOCK
ACG-0111,9,2664,9,2214,245.99999997999998,2024-10-04,0,450,0,14,DEAD STOCK
ACG-0112,7,1694,9,1809,201.000000036,2024-10-04,2,-115,402,14,DEAD STOCK
ACG-0113,7,1421,9,1521,169.000000032,2024-10-04,2,-100,338,14,DEAD STOCK
ACG-0114,8,1624,9,1404,155.999999976,2024-10-04,1,220,155,14,DEAD STOCK
ACG-0115,9,1809,9,1386,154.000000012,2024-10-04,0,423,0,14,DEAD STOCK
ACG-0116,9,2358,9,1971,218.999999944,2024-10-04,0,387,0,14,DEAD STOCK
ACG-0117,7,1792,9,1926,213.999999976,2024-10-04,2,-134,427,14,DEAD STOCK
ACG-0118,9,1935,9,1485,164.99999998799998,2024-10-04,0,450,0,14,DEAD STOCK
ACG-0119,7,1666,9,1782,198.000000032,2024-10-04,2,-116,396,14,DEAD STOCK
ACG-0120,7,1575,9,1692,187.99999997999998,2024-10-04,2,-117,375,14,DEAD STOCK
ACG-0121,12,2868,12,2400,199.99999999599999,2024-10-04,0,468,0,14,DEAD STOCK
ACG-0122,6,1542,9,1935,215.000000016,2024-11-07,3,-393,645,12,DEAD STOCK
ACG-0123,7,2093,9,2241,248.99999998399997,2024-11-07,2,-148,497,12,DEAD STOCK
ACG-0124,10,2940,12,2940,245.00000005599998,2024-11-07,2,0,490,12,DEAD STOCK
ACG-0125,7,1673,9,1800,199.99999999599999,2024-11-07,2,-127,399,12,DEAD STOCK
ACG-0126,9,2376,12,2640,219.99999998399997,2024-11-07,3,-264,659,12,DEAD STOCK
ACG-0127,10,2030,12,2028,169.000000032,2024-11-07,2,2,338,12,DEAD STOCK
ACG-0128,7,1505,9,1611,178.99999996799997,2024-11-07,2,-106,357,12,DEAD STOCK
ACG-0129,9,1809,12,2004,166.99999995199997,2024-11-07,3,-195,500,12,DEAD STOCK
ACG-0130,12,3696,12,3072,256.000000032,2024-11-07,0,624,0,12,DEAD STOCK
ACG-0131,7,1694,9,1809,201.000000036,2024-11-07,2,-115,402,12,DEAD STOCK
ACG-0132,9,2124,12,2352,195.99999995199997,2024-11-07,3,-228,587,12,DEAD STOCK
ACG-0133,10,2210,12,2208,184.000000052,2024-12-04,2,2,368,12,DEAD STOCK
ACG-0134,12,3072,12,2556,213.000000052,2024-12-04,0,516,0,12,DEAD STOCK
ACG-0135,9,2178,12,2412,201.000000036,2024-12-04,3,-234,603,12,DEAD STOCK
ACG-0136,12,3132,12,2604,216.99999997999998,2024-12-04,0,528,0,12,DEAD STOCK
ACG-0137,12,2616,12,2172,181.000000048,2024-12-04,0,444,0,12,DEAD STOCK
ACG-0138,9,2223,12,2472,206.000000004,2024-12-04,3,-249,618,12,DEAD STOCK
ACG-0139,10,2160,12,1992,166.000000028,2024-12-04,2,168,332,12,DEAD STOCK
ACG-0140,10,2100,12,2100,175.00000003999997,2024-12-04,2,0,350,12,DEAD STOCK
ACG-0141,10,2470,12,2472,206.000000004,2024-12-04,2,-2,412,12,DEAD STOCK
ACG-0142,12,2376,12,1836,152.99999997199998,2024-12-04,0,540,0,12,DEAD STOCK
ACG-0143,10,2620,12,2616,218.00000002,2024-12-04,2,4,436,12,DEAD STOCK
ACG-0144,10,2470,12,2472,206.000000004,2024-12-04,2,-2,412,12,DEAD STOCK
ACG-0145,10,2680,12,2688,224.000000028,2024-12-04,2,-8,448,12,DEAD STOCK
ACG-0146,9,2223,12,2472,206.000000004,2024-12-04,3,-249,618,12,DEAD STOCK
ACT-0001,34,11596,42,11970,285.000000032,2024-01-04,8,-374,2280,23,DEAD STOCK
ACT-0002,42,11214,42,9324,221.99999994799998,2024-01-04,0,1890,0,23,DEAD STOCK
ACT-0003,36,3168,42,2814,67.0000000004,2024-01-04,6,354,402,23,DEAD STOCK
ACT-0004,41,12997,42,11130,265.000000044,2024-01-04,1,1867,265,23,DEAD STOCK
ACT-0005,34,12751,42,13146,312.99999999199997,2024-01-04,8,-395,2503,23,DEAD STOCK
ACT-0006,33,12441,42,13188,314.000000032,2024-01-04,9,-747,2826,23,DEAD STOCK
ACT-0007,34,5644,42,5334,126.99999997599998,2024-01-04,8,310,1015,23,DEAD STOCK
ACT-0008,37,9916,42,9408,224.000000028,2024-01-04,5,508,1120,23,DEAD STOCK
ACT-0009,32,7840,42,8568,204.00000003999997,2024-01-04,10,-728,2040,23,DEAD STOCK
ACT-0010,42,8526,42,6552,155.999999976,2024-01-04,0,1974,0,23,DEAD STOCK
ACT-0011,41,7749,42,6132,146.00000004,2024-01-04,1,1617,146,23,DEAD STOCK
ACT-0012,36,10296,42,10038,239.000000048,2024-01-04,6,258,1434,23,DEAD STOCK
ACT-0013,32,7392,39,7527,192.99999994799998,2024-01-04,7,-135,1350,23,DEAD STOCK
ACT-0014,39,8308,42,6888,163.99999994799998,2024-01-04,3,1420,491,23,DEAD STOCK
ACT-0015,43,6279,54,6102,112.999999996,2025-01-05,11,177,1242,11,DEAD STOCK
ACT-0016,54,11826,54,9882,183.000000012,2025-01-05,0,1944,0,11,DEAD STOCK
ACT-0017,54,8316,54,6372,117.999999964,2025-01-05,0,1944,0,11,DEAD STOCK
ACT-0018,47,8225,54,7236,134.000000024,2025-01-05,7,989,938,11,DEAD STOCK
ACT-0019,44,3740,54,3510,65.0000000016,2025-01-05,10,230,650,11,DEAD STOCK
ACT-0020,42,15036,54,16146,299.000000012,2025-01-05,12,-1110,3588,11,DEAD STOCK
ACT-0021,43,13029,54,13608,251.99999998799998,2025-01-05,11,-579,2771,11,DEAD STOCK
ACT-0022,55,20297,57,17556,308.000000024,2025-01-05,2,2741,616,11,DEAD STOCK
ACT-0023,45,4365,54,3996,74.000000002,2025-01-05,9,369,666,11,DEAD STOCK
ACT-0024,54,19332,57,16986,297.99999997199996,2025-01-05,3,2346,893,11,DEAD STOCK
ACT-0025,50,6250,57,5472,96.0000000004,2024-02-05,7,778,672,22,DEAD STOCK
ACT-0026,54,8316,54,6372,117.999999964,2024-02-05,0,1944,0,22,DEAD STOCK
ACT-0027,56,6384,57,5016,88.0000000052,2024-02-05,1,1368,88,22,DEAD STOCK
ACT-0028,50,12350,57,11742,206.000000004,2024-02-05,7,608,1442,22,DEAD STOCK
ACT-0029,47,5170,54,4536,83.999999996,2024-02-05,7,634,587,22,DEAD STOCK
ACT-0030,50,4702,57,4161,72.9999999968,2024-02-05,7,541,510,22,DEAD STOCK
ACT-0031,57,4845,57,3705,65.0000000016,2024-02-05,0,1140,0,22,DEAD STOCK
ACT-0032,54,5239,54,4050,74.9999999956,2024-02-05,0,1189,0,22,DEAD STOCK
ACT-0033,47,12878,57,13053,228.99999999599999,2024-02-05,10,-175,2289,22,DEAD STOCK
ACT-0034,56,18592,57,15732,276.00000002,2024-02-05,1,2860,276,22,DEAD STOCK
ACT-0035,53,8215,54,6480,120.00000004399999,2024-02-05,1,1735,120,22,DEAD STOCK
ACT-0036,53,10653,57,9519,166.99999995199997,2024-02-05,4,1134,667,22,DEAD STOCK
ACT-0037,44,15752,57,16986,297.99999997199996,2024-02-05,13,-1234,3873,22,DEAD STOCK
ACT-0038,50,8350,54,6966,129.00000005599998,2024-02-05,4,1384,516,22,DEAD STOCK
ACT-0039,56,8176,57,6441,112.999999996,2024-02-05,1,1735,112,22,DEAD STOCK
ACT-0040,57,9804,57,7581,132.999999984,2025-02-04,0,2223,0,10,DEAD STOCK
ACT-0041,43,15867,57,17556,308.000000024,2025-02-04,14,-1689,4312,10,DEAD STOCK
ACT-0042,43,14964,57,16530,290.0,2025-02-04,14,-1566,4060,10,DEAD STOCK
ACT-0043,48,15456,60,16080,268.000000048,2025-02-04,12,-624,3216,10,DEAD STOCK
ACT-0044,49,6713,60,6300,105.0000000008,2025-02-04,11,413,1155,10,DEAD STOCK
ACT-0045,50,14300,57,13623,239.000000048,2025-02-04,7,677,1673,10,DEAD STOCK
ACT-0046,50,10050,60,10020,166.99999995199997,2025-02-04,10,30,1669,10,DEAD STOCK
ACT-0047,50,11652,60,11700,195.000000028,2025-02-04,10,-48,1950,10,DEAD STOCK
ACT-0048,42,11886,57,13452,236.000000044,2025-02-04,15,-1566,3540,10,DEAD STOCK
ACT-0049,51,6528,60,5880,97.99999999919999,2025-02-04,9,648,881,10,DEAD STOCK
ACT-0050,49,17395,60,17760,296.000000008,2025-02-04,11,-365,3256,10,DEAD STOCK
ACT-0051,55,5556,57,4446,77.99999999959999,2025-02-04,2,1110,155,10,DEAD STOCK
ACT-0052,48,10896,60,11340,189.00000002,2025-02-04,12,-444,2268,10,DEAD STOCK
ACT-0053,56,14672,57,12426,218.00000002,2024-03-05,1,2246,218,21,DEAD STOCK
ACT-0054,56,20048,57,17043,299.000000012,2024-03-05,1,3005,299,21,DEAD STOCK
ACT-0055,44,12540,57,13509,236.99999996799997,2024-03-05,13,-969,3080,21,DEAD STOCK
ACT-0056,47,13959,57,14079,247.00000002,2024-03-05,10,-120,2470,21,DEAD STOCK
ACT-0057,49,6468,57,5814,101.99999999679999,2024-03-05,8,654,815,21,DEAD STOCK
ACT-0058,46,12420,57,12825,224.99999995199997,2024-03-05,11,-405,2474,21,DEAD STOCK
ACT-0059,49,12251,57,11913,209.00000000799997,2024-03-05,8,338,1672,21,DEAD STOCK
ACT-0060,57,21033,57,17499,306.999999984,2024-03-05,0,3534,0,21,DEAD STOCK
ACT-0061,55,15675,57,13566,238.00000000799997,2024-03-05,2,2109,476,21,DEAD STOCK
ACT-0062,47,4935,57,4617,81.00000000360001,2024-03-05,10,318,810,21,DEAD STOCK
ACT-0063,56,19097,57,16245,285.000000032,2024-03-05,1,2852,285,21,DEAD STOCK
ACT-0064,47,10952,57,11115,195.000000028,2024-03-05,10,-163,1950,21,DEAD STOCK
ACT-0065,48,18096,57,17898,314.000000032,2024-03-05,9,198,2826,21,DEAD STOCK
ACT-0066,57,17955,57,14991,262.999999964,2024-03-05,0,2964,0,21,DEAD STOCK
ACT-0067,50,10900,57,10317,181.000000048,2024-03-05,7,583,1267,21,DEAD STOCK
ACT-0068,55,20185,57,17442,305.99999994399997,2024-03-05,2,2743,611,21,DEAD STOCK
ACT-0069,46,4140,57,3933,68.9999999992,2024-03-05,11,207,758,21,DEAD STOCK
ACT-0070,43,9159,54,8856,163.99999994799998,2024-03-05,11,303,1803,21,DEAD STOCK
ACT-0071,45,12060,57,12768,224.000000028,2024-03-05,12,-708,2688,21,DEAD STOCK
ACT-0072,46,12328,57,12768,224.000000028,2025-03-05,11,-440,2464,9,DEAD STOCK
ACT-0073,46,11776,57,12141,213.000000052,2025-03-05,11,-365,2343,9,DEAD STOCK
ACT-0074,44,15224,54,15606,288.99999995999997,2025-03-05,10,-382,2889,9,DEAD STOCK
ACT-0075,50,11200,57,10602,186.000000016,2025-03-05,7,598,1302,9,DEAD STOCK
ACT-0076,44,4532,57,4503,79.00000000479999,2025-03-05,13,29,1027,9,DEAD STOCK
ACT-0077,42,9282,54,9990,184.999999976,2025-03-05,12,-708,2219,9,DEAD STOCK
ACT-0078,46,14858,57,15333,268.999999972,2025-03-05,11,-475,2958,9,DEAD STOCK
ACT-0079,47,9823,57,9918,174.0,2025-03-05,10,-95,1740,9,DEAD STOCK
ACT-0080,44,9901,54,10152,187.99999997999998,2025-03-05,10,-251,1879,9,DEAD STOCK
ACT-0081,41,5535,57,5928,103.99999999559999,2025-03-05,16,-393,1663,9,DEAD STOCK
ACT-0082,50,15100,57,14307,250.99999994799995,2025-03-05,7,793,1756,9,DEAD STOCK
ACT-0083,45,8685,54,8046,149.000000044,2025-03-05,9,639,1341,9,DEAD STOCK
ACT-0084,46,15502,57,16017,280.999999988,2025-03-05,11,-515,3090,9,DEAD STOCK
ACT-0085,49,8331,57,7467,131.00000002,2024-04-04,8,864,1048,20,DEAD STOCK
ACT-0086,44,14344,57,15447,271.000000052,2024-04-04,13,-1103,3523,20,DEAD STOCK
ACT-0087,55,13475,57,11628,204.00000003999997,2024-04-04,2,1847,408,20,DEAD STOCK
ACT-0088,46,17112,60,18600,309.999999988,2024-04-04,14,-1488,4339,20,DEAD STOCK
ACT-0089,48,13152,57,12996,227.99999995599998,2024-04-04,9,156,2051,20,DEAD STOCK
ACT-0090,48,9648,60,10020,166.99999995199997,2024-04-04,12,-372,2003,20,DEAD STOCK
ACT-0091,60,14700,60,12300,204.99999996399998,2024-04-04,0,2400,0,20,DEAD STOCK
ACT-0092,49,7154,57,6384,112.0000000024,2024-04-04,8,770,896,20,DEAD STOCK
ACT-0093,50,14550,60,14520,242.000000052,2024-04-04,10,30,2420,20,DEAD STOCK
ACT-0094,49,6910,60,6540,108.99999999839999,2024-04-04,11,370,1198,20,DEAD STOCK
ACT-0095,56,9464,57,7410,129.99999997999998,2024-04-04,1,2054,129,20,DEAD STOCK
ACT-0096,60,6840,60,5280,88.0000000052,2024-04-04,0,1560,0,20,DEAD STOCK
ACT-0097,48,13920,60,14460,241.000000012,2025-04-04,12,-540,2892,8,DEAD STOCK
ACT-0098,51,4233,60,3840,63.99999999639999,2025-04-04,9,393,575,8,DEAD STOCK
ACT-0099,48,17280,60,18000,300.000000052,2025-04-04,12,-720,3600,8,DEAD STOCK
ACT-0100,47,9964,60,10560,175.99999996399998,2025-04-04,13,-596,2287,8,DEAD STOCK
ACT-0101,47,15134,60,16080,268.000000048,2025-04-04,13,-946,3484,8,DEAD STOCK
ACT-0102,45,13365,60,14820,247.00000002,2025-04-04,15,-1455,3705,8,DEAD STOCK
ACT-0103,50,9450,60,8700,145.0,2025-04-04,10,750,1450,8,DEAD STOCK
ACT-0104,48,15360,57,15219,267.000000008,2025-04-04,9,141,2403,8,DEAD STOCK
ACT-0105,50,6300,60,5820,97.00000000559999,2025-04-04,10,480,970,8,DEAD STOCK
ACT-0106,44,3872,60,4080,68.00000000559999,2025-04-04,16,-208,1088,8,DEAD STOCK
ACT-0107,45,16110,57,17043,299.000000012,2025-04-04,12,-933,3588,8,DEAD STOCK
ACT-0108,39,11310,60,14460,241.000000012,2025-04-04,21,-3150,5061,8,DEAD STOCK
ACT-0109,51,10711,60,9720,161.999999984,2025-04-04,9,991,1457,8,DEAD STOCK
ACT-0110,46,5934,57,5643,99.0000000044,2025-04-04,11,291,1089,8,DEAD STOCK
ACT-0111,48,14832,60,15480,257.999999996,2025-04-04,12,-648,3095,8,DEAD STOCK
ACT-0112,57,9633,57,7410,129.99999997999998,2024-05-06,0,2223,0,19,DEAD STOCK
ACT-0113,49,9996,57,9690,169.99999995599998,2024-05-06,8,306,1359,19,DEAD STOCK
ACT-0114,47,5358,57,4959,87.0,2024-05-06,10,399,870,19,DEAD STOCK
ACT-0115,45,11565,57,12255,215.000000016,2024-05-06,12,-690,2580,19,DEAD STOCK
ACT-0116,48,4848,57,4446,77.99999999959999,2024-05-06,9,402,701,19,DEAD STOCK
ACT-0117,60,5100,60,3900,65.0000000016,2024-05-06,0,1200,0,19,DEAD STOCK
ACT-0118,47,17061,60,18180,303.000000056,2024-05-06,13,-1119,3939,19,DEAD STOCK
ACT-0119,47,14618,57,14820,259.99999995999997,2024-05-06,10,-202,2599,19,DEAD STOCK
ACT-0120,51,18207,60,17820,297.00000004799995,2024-05-06,9,387,2673,19,DEAD STOCK
ACT-0121,60,8761,60,6780,112.999999996,2024-05-06,0,1981,0,19,DEAD STOCK
ACT-0122,47,16169,57,16359,286.999999996,2024-05-06,10,-190,2869,19,DEAD STOCK
ACT-0123,57,18924,60,16560,276.00000002,2024-05-06,3,2364,828,19,DEAD STOCK
ACT-0124,59,14751,60,12540,209.00000000799997,2024-05-06,1,2211,209,19,DEAD STOCK
ACT-0125,45,11520,57,12198,213.999999976,2024-05-06,12,-678,2567,19,DEAD STOCK
ACT-0126,47,7238,60,7080,117.999999964,2024-05-06,13,158,1533,19,DEAD STOCK
ACT-0127,48,7248,57,6612,115.99999999999999,2025-05-04,9,636,1043,7,DEAD STOCK
ACT-0128,48,12672,57,12540,219.99999998399997,2025-05-04,9,132,1979,7,DEAD STOCK
ACT-0129,44,14080,57,15219,267.000000008,2025-05-04,13,-1139,3471,7,DEAD STOCK
ACT-0130,44,8712,57,8664,152.000000048,2025-05-04,13,48,1976,7,DEAD STOCK
ACT-0131,43,14620,57,16131,282.999999952,2025-05-04,14,-1511,3961,7,DEAD STOCK
ACT-0132,40,3680,57,4047,70.99999999799999,2025-05-04,17,-367,1206,7,DEAD STOCK
ACT-0133,46,16744,60,18240,303.99999998,2025-05-04,14,-1496,4255,7,DEAD STOCK
ACT-0134,45,13500,60,15000,250.00000002399997,2025-05-04,15,-1500,3750,7,DEAD STOCK
ACT-0135,44,7304,57,7239,126.99999997599998,2025-05-04,13,65,1650,7,DEAD STOCK
ACT-0136,45,10080,60,11160,186.000000016,2025-05-04,15,-1080,2790,7,DEAD STOCK
ACT-0137,45,9045,60,10020,166.99999995199997,2025-05-04,15,-975,2504,7,DEAD STOCK
